,Symbol,Max Drawdown,Hit Rate,Holding Shares,Short Shares,Max Holding,Max Short,Out of Capital,Short Orders,Long Orders,Initial Capital,Current Capital,Holding Capital,Total Equity,Profit,Profit Percentage
0,RELIANCE,88.41,33.53,30.0,0.0,63.0,7.0,46.0,77.0,104.0,100000.0,55277.04,36492.0,91769.04,-8230.96,-8.23
1,HDFCBANK,83.9,59.87,48.0,0.0,57.0,6.0,49.0,77.0,96.0,100000.0,17628.63,85056.0,102684.63,2684.63,2.68
2,BHARTIARTL,81.45,55.14,10.0,0.0,78.0,9.0,29.0,84.0,108.0,100000.0,101972.13,15934.0,117906.13,17906.13,17.91
3,TCS,67.65,44.44,6.0,0.0,17.0,2.0,87.0,64.0,83.0,100000.0,75650.13,24636.0,100286.13,286.13,0.29
4,ICICIBANK,85.63,66.04,63.0,0.0,90.0,9.0,44.0,82.0,96.0,100000.0,30211.66,80860.5,111072.16,11072.16,11.07
5,SBIN,83.9,48.76,42.0,0.0,128.0,15.0,0.0,103.0,103.0,100000.0,80367.41,33432.0,113799.41,13799.41,13.8
6,INFY,81.2,38.22,11.0,0.0,49.0,6.0,8.0,117.0,112.0,100000.0,78382.87,20742.15,99125.02,-874.98,-0.87
7,HINDUNILVR,77.58,41.72,24.0,0.0,32.0,3.0,48.0,79.0,96.0,100000.0,46097.76,55848.0,101945.76,1945.76,1.95
8,ITC,93.09,33.67,190.0,0.0,251.0,25.0,0.0,107.0,111.0,100000.0,20447.34,79610.0,100057.34,57.34,0.06
9,KOTAKBANK,84.08,33.73,42.0,0.0,46.0,5.0,18.0,79.0,108.0,100000.0,16395.59,74970.0,91365.59,-8634.41,-8.63
10,LT,66.65,45.81,9.0,0.0,19.0,3.0,44.0,69.0,91.0,100000.0,68287.03,32489.55,100776.58,776.58,0.78
11,AXISBANK,83.31,39.51,23.0,0.0,74.0,9.0,0.0,97.0,112.0,100000.0,66481.29,24564.0,91045.29,-8954.71,-8.95
12,BAJFINANCE,82.11,25.12,98.0,0.0,112.0,14.0,0.0,109.0,108.0,100000.0,24414.06,66983.0,91397.06,-8602.94,-8.6
