,Symbol,Max Drawdown,Hit Rate,Holding Shares,Short Shares,Max Holding,Max Short,Out of Capital,Short Orders,Long Orders,Initial Capital,Current Capital,Holding Capital,Total Equity,Profit,Profit Percentage
0,RELIANCE,25.59,46.9,8.0,0.0,22.0,8.0,0.0,96.0,131.0,100000.0,92192.88,9731.2,101924.08,1924.08,1.92
1,HDFCBANK,32.01,45.5,0.0,0.0,23.0,6.0,0.0,102.0,120.0,100000.0,99499.25,0.0,99499.25,-500.75,-0.5
2,BHARTIARTL,18.41,35.45,5.0,0.0,24.0,9.0,0.0,97.0,124.0,100000.0,91652.36,7967.0,99619.36,-380.64,-0.38
3,TCS,24.61,38.2,2.0,0.0,7.0,2.0,0.0,110.0,124.0,100000.0,91192.46,8212.0,99404.46,-595.54,-0.6
4,ICICIBANK,26.52,52.49,7.0,0.0,27.0,10.0,0.0,102.0,120.0,100000.0,91641.04,8984.5,100625.54,625.54,0.63
5,SBIN,25.87,45.85,13.0,0.0,40.0,16.0,0.0,103.0,103.0,100000.0,93019.12,10348.0,103367.12,3367.12,3.37
6,INFY,22.2,43.22,4.0,0.0,17.0,6.0,0.0,120.0,117.0,100000.0,91634.8,7542.6,99177.4,-822.6,-0.82
7,HINDUNILVR,24.27,30.63,4.0,0.0,11.0,4.0,0.0,105.0,118.0,100000.0,88395.24,9308.0,97703.24,-2296.76,-2.3
8,ITC,39.58,35.94,21.0,0.0,124.0,28.0,0.0,107.0,111.0,100000.0,90200.52,8799.0,98999.52,-1000.48,-1.0
9,KOTAKBANK,24.24,40.0,0.0,0.0,14.0,6.0,0.0,88.0,117.0,100000.0,99058.27,0.0,99058.27,-941.73,-0.94
10,LT,20.52,42.86,2.0,0.0,8.0,3.0,0.0,91.0,113.0,100000.0,94154.09,7219.9,101373.99,1373.99,1.37
11,AXISBANK,18.84,40.67,0.0,0.0,24.0,9.0,0.0,97.0,112.0,100000.0,98818.93,0.0,98818.93,-1181.07,-1.18
12,BAJFINANCE,26.42,34.72,13.0,0.0,49.0,15.0,0.0,109.0,108.0,100000.0,92117.62,8885.5,101003.12,1003.12,1.0
