,Symbol,Max Drawdown,Hit Rate,Holding Shares,Short Shares,Max Holding,Max Short,Out of Capital,Short Orders,Long Orders,Initial Capital,Current Capital,Holding Capital,Total Equity,Profit,Profit Percentage
0,RELIANCE,56.39,39.88,19.0,0.0,41.0,7.0,0.0,78.0,98.0,100000.0,75030.66,23111.6,98142.26,-1857.74,-1.86
1,HDFCBANK,61.54,59.46,24.0,0.0,41.0,7.0,0.0,71.0,83.0,100000.0,62444.63,42528.0,104972.63,4972.63,4.97
2,BHARTIARTL,46.87,42.42,9.0,0.0,43.0,9.0,0.0,75.0,92.0,100000.0,89897.3,14340.6,104237.9,4237.9,4.24
3,TCS,53.99,38.86,1.0,0.0,15.0,2.0,0.0,86.0,108.0,100000.0,95412.41,4106.0,99518.41,-481.59,-0.48
4,ICICIBANK,55.32,52.1,15.0,0.0,52.0,9.0,0.0,78.0,91.0,100000.0,86158.32,19252.5,105410.82,5410.82,5.41
5,SBIN,58.08,41.26,12.0,0.0,85.0,15.0,0.0,66.0,78.0,100000.0,91418.96,9552.0,100970.96,970.96,0.97
6,INFY,55.19,45.69,5.0,0.0,41.0,6.0,0.0,100.0,98.0,100000.0,94793.0,9428.25,104221.25,4221.25,4.22
7,HINDUNILVR,48.82,32.97,15.0,0.0,23.0,4.0,0.0,86.0,101.0,100000.0,63126.8,34905.0,98031.8,-1968.2,-1.97
8,ITC,51.46,32.03,94.0,0.0,138.0,28.0,0.0,80.0,78.0,100000.0,60120.43,39386.0,99506.43,-493.57,-0.49
9,KOTAKBANK,62.03,40.71,18.0,0.0,34.0,6.0,0.0,60.0,84.0,100000.0,66760.94,32130.0,98890.94,-1109.06,-1.11
10,LT,48.26,42.15,6.0,0.0,15.0,2.0,0.0,52.0,72.0,100000.0,78327.72,21659.7,99987.42,-12.58,-0.01
11,AXISBANK,54.08,41.89,0.0,0.0,46.0,9.0,0.0,68.0,80.0,100000.0,96787.29,0.0,96787.29,-3212.71,-3.21
12,BAJFINANCE,45.06,32.89,48.0,0.0,66.0,15.0,0.0,78.0,78.0,100000.0,65476.41,32808.0,98284.41,-1715.59,-1.72
13,MARUTI,10.13,50.0,0.0,0.0,1.0,0.0,164.0,0.0,2.0,100000.0,100431.3,0.0,100431.3,431.3,0.43
14,NTPC,40.35,36.42,24.0,0.0,116.0,32.0,0.0,78.0,85.0,100000.0,91292.58,7987.2,99279.78,-720.22,-0.72
15,TATASTEEL,51.51,31.64,159.0,0.0,326.0,78.0,0.0,71.0,109.0,100000.0,74121.83,21457.05,95578.88,-4421.12,-4.42
16,ULTRACEMCO,10.41,44.44,0.0,0.0,1.0,1.0,153.0,6.0,12.0,100000.0,100501.57,0.0,100501.57,501.57,0.5
17,SUNPHARMA,69.74,51.98,21.0,0.0,43.0,7.0,0.0,87.0,95.0,100000.0,67594.32,39690.0,107284.32,7284.32,7.28
18,WIPRO,49.58,45.27,24.0,0.0,223.0,44.0,0.0,86.0,116.0,100000.0,98981.11,7106.4,106087.51,6087.51,6.09
19,HCLTECH,54.9,38.0,4.0,0.0,37.0,7.0,0.0,101.0,100.0,100000.0,90913.46,7699.2,98612.66,-1387.34,-1.39
20,ABFRL,34.65,36.13,0.0,0.0,211.0,61.0,0.0,59.0,96.0,100000.0,100355.74,0.0,100355.74,355.74,0.36
21,VOLTAS,49.62,41.42,0.0,0.0,36.0,9.0,0.0,79.0,90.0,100000.0,102664.44,0.0,102664.44,2664.44,2.66
22,CHOLAFIN,41.81,45.58,7.0,0.0,37.0,9.0,0.0,66.0,82.0,100000.0,94528.21,8314.6,102842.81,2842.81,2.84
23,CROMPTON,43.87,33.97,65.0,0.0,162.0,36.0,0.0,76.0,83.0,100000.0,73225.01,25694.5,98919.51,-1080.49,-1.08
24,DEEPAKNTR,31.6,44.14,3.0,0.0,14.0,4.0,0.0,78.0,68.0,100000.0,93180.43,7500.0,100680.43,680.43,0.68
25,GLENMARK,47.72,45.83,6.0,0.0,50.0,11.0,0.0,75.0,94.0,100000.0,90128.26,9671.4,99799.66,-200.34,-0.2
26,JUBLFOOD,40.24,38.71,0.0,0.0,74.0,22.0,0.0,91.0,64.0,100000.0,98473.55,0.0,98473.55,-1526.45,-1.53
27,MUTHOOTFIN,42.74,55.56,9.0,0.0,22.0,7.0,0.0,82.0,82.0,100000.0,84927.89,19260.0,104187.89,4187.89,4.19
28,PAGEIND,0.0,0.0,0.0,0.0,0.0,0.0,163.0,0.0,0.0,100000.0,100000.0,0.0,100000.0,0.0,0.0
29,PERSISTENT,33.22,49.16,0.0,0.0,9.0,2.0,0.0,94.0,85.0,100000.0,107629.93,0.0,107629.93,7629.93,7.63
30,POLYCAB,28.91,44.24,1.0,0.0,5.0,2.0,9.0,79.0,87.0,100000.0,93029.09,7275.0,100304.09,304.09,0.3
31,SRF,36.75,41.26,0.0,0.0,16.0,4.0,0.0,75.0,68.0,100000.0,99061.44,0.0,99061.44,-938.56,-0.94
32,TATAELXSI,36.16,39.53,1.0,0.0,5.0,1.0,45.0,81.0,92.0,100000.0,97260.93,6787.0,104047.93,4047.93,4.05
33,UBL,37.65,36.6,11.0,0.0,22.0,5.0,0.0,72.0,84.0,100000.0,75196.52,22440.0,97636.52,-2363.48,-2.36
34,ZYDUSLIFE,62.71,40.0,9.0,0.0,76.0,14.0,0.0,67.0,104.0,100000.0,91347.69,8739.0,100086.69,86.69,0.09
35,AEGISLOG,32.76,40.0,20.0,0.0,74.0,28.0,0.0,89.0,93.0,100000.0,85252.78,16440.0,101692.78,1692.78,1.69
36,BALAMINES,31.95,32.5,0.0,0.0,17.0,5.0,0.0,133.0,67.0,100000.0,98594.82,0.0,98594.82,-1405.18,-1.41
37,CERA,30.79,40.54,0.0,0.0,4.0,1.0,21.0,74.0,74.0,100000.0,99773.66,0.0,99773.66,-226.34,-0.23
38,DALBHARAT,42.73,42.99,10.0,0.0,23.0,5.0,0.0,56.0,53.0,100000.0,81305.11,17687.5,98992.61,-1007.39,-1.01
39,FINEORG,30.68,39.67,2.0,0.0,7.0,2.0,0.0,99.0,86.0,100000.0,89937.53,8936.0,98873.53,-1126.47,-1.13
40,GRANULES,40.09,43.31,15.0,0.0,110.0,25.0,0.0,65.0,93.0,100000.0,93289.81,8835.75,102125.56,2125.56,2.13
41,AJANTPHARM,26.96,39.76,0.0,0.0,14.0,4.0,0.0,75.0,91.0,100000.0,96508.67,0.0,96508.67,-3491.33,-3.49
42,INDIGO,32.72,39.49,2.0,0.0,11.0,3.0,0.0,80.0,78.0,100000.0,93136.86,9106.4,102243.26,2243.26,2.24
43,KEI,26.53,39.18,5.0,0.0,8.0,3.0,0.0,85.0,89.0,100000.0,78628.1,22149.5,100777.6,777.6,0.78
44,LEMONTREE,46.87,38.1,123.0,0.0,431.0,84.0,0.0,71.0,120.0,100000.0,84342.23,18819.0,103161.23,3161.23,3.16
45,MAZDOCK,38.16,41.12,4.0,0.0,42.0,10.0,0.0,75.0,123.0,100000.0,97114.89,8903.6,106018.49,6018.49,6.02
46,RITES,48.93,40.98,0.0,0.0,154.0,40.0,0.0,82.0,123.0,100000.0,105380.85,0.0,105380.85,5380.85,5.38
47,KPITTECH,36.46,38.42,5.0,0.0,29.0,6.0,0.0,76.0,115.0,100000.0,92887.69,7329.75,100217.44,217.44,0.22
48,TEJASNET,33.3,32.72,0.0,0.0,36.0,14.0,0.0,74.0,88.0,100000.0,96162.81,0.0,96162.81,-3837.19,-3.84
49,HINDCOPPER,28.28,42.16,0.0,0.0,124.0,41.0,0.0,102.0,83.0,100000.0,99674.72,0.0,99674.72,-325.28,-0.33
50,Mean,41.57,40.46,15.92,0.0,64.2,14.92,11.1,74.34,84.3,100000.0,88851.81,12020.73,100872.54,872.54,0.87
