,Symbol,Max Drawdown,Hit Rate,Holding Shares,Max Holding,Out of Capital,Buy Orders,Sell Orders,Initial Capital,Current Capital,Holding Capital,Total Equity,Profit,Profit Percentage
Large Cap,,,,,,,,,,,,,,
1,RELIANCE,2.95,18.18,8,18,0,12,11,100000,88505.94,9731.2,98237.14,-1762.86,-1.76
2,HDFCBANK,0.53,50,10,10,0,4,2,100000,82321.44,17720,100041.44,41.44,0.04
3,BHARTIARTL,1.74,45.45,11,19,0,13,11,100000,82198.35,17527.4,99725.75,-274.25,-0.27
4,TCS,3.19,25,2,6,0,17,16,100000,89789.59,8212,98001.59,-1998.41,-2
5,ICICIBANK,1.48,57.14,14,21,0,9,7,100000,83313.38,17969,101282.38,1282.38,1.28
6,SBIN,1.82,25,23,30,0,6,4,100000,80847.04,18308,99155.04,-844.96,-0.84
7,INFY,2.31,29.41,0,14,0,17,17,100000,100587.92,0,100587.92,587.92,0.59
8,HINDUNILVR,4.1,44.83,8,22,0,31,29,100000,84709.48,18616,103325.48,3325.48,3.33
9,ITC,1.93,45.45,0,61,0,11,11,100000,99960.76,0,99960.76,-39.24,-0.04
10,KOTAKBANK,1.66,33.33,10,15,0,11,9,100000,81557.07,17850,99407.07,-592.93,-0.59
11,LT,1.25,37.5,2,6,0,9,8,100000,92812.57,7219.9,100032.47,32.47,0.03
12,AXISBANK,1.6,33.33,9,15,0,7,6,100000,89978.21,9612,99590.21,-409.79,-0.41
13,BAJFINANCE,2.87,30.77,0,38,0,13,13,100000,99128.87,0,99128.87,-871.13,-0.87
14,MARUTI,0,0,0,0,17,0,0,100000,100000,0,100000,0,0
15,NTPC,3.62,13.33,0,74,0,15,15,100000,96378.04,0,96378.04,-3621.96,-3.62
16,TATASTEEL,2.38,27.27,65,136,0,12,11,100000,90066.62,8771.75,98838.37,-1161.63,-1.16
17,ULTRACEMCO,0.38,100,0,1,12,3,3,100000,100469.27,0,100469.27,469.27,0.47
18,SUNPHARMA,3.55,58.82,10,29,0,19,17,100000,88903.99,18900,107803.99,7803.99,7.8
19,WIPRO,3.67,47.62,0,143,0,21,21,100000,103870.09,0,103870.09,3870.09,3.87
20,HCLTECH,2.17,44.44,3,22,0,19,18,100000,95924.72,5774.4,101699.12,1699.12,1.7
,Mean,,,,,,,,,,,,,0.3775
Mid Cap,,,,,,,,,,,,,,
21,ABFRL,4.74,28.12,0,168,0,32,32,100000,99503.42,0,99503.42,-496.58,-0.5
22,VOLTAS,2.69,62.96,5,25,0,28,27,100000,95150.62,8966.5,104117.12,4117.12,4.12
23,CHOLAFIN,2.08,38.46,8,25,0,27,26,100000,90820.59,9502.4,100322.99,322.99,0.32
24,CROMPTON,4.09,33.33,26,140,0,34,33,100000,92790.45,10277.8,103068.25,3068.25,3.07
25,DEEPAKNTR,2.88,37.93,3,19,0,30,29,100000,95217.97,7500,102717.97,2717.97,2.72
26,GLENMARK,1.65,52.38,0,28,0,21,21,100000,101775.2,0,101775.2,1775.2,1.78
27,JUBLFOOD,2.12,65.38,0,76,0,26,26,100000,105075.12,0,105075.12,5075.12,5.08
28,MUTHOOTFIN,2.67,40.74,0,18,0,27,27,100000,99708,0,99708,-292,-0.29
29,PAGEIND,0,0,0,0,21,0,0,100000,100000,0,100000,0,0
30,PERSISTENT,1.09,61.54,0,4,0,13,13,100000,103097.78,0,103097.78,3097.78,3.1
31,POLYCAB,2.26,38.89,0,6,0,18,18,100000,101412.28,0,101412.28,1412.28,1.41
32,SRF,5.12,27.59,0,15,0,29,29,100000,96766.03,0,96766.03,-3233.97,-3.23
33,TATAELXSI,4.38,38.46,0,5,4,39,39,100000,104444.8,0,104444.8,4444.8,4.44
34,UBL,5.89,40,13,39,0,48,45,100000,79430.19,26520,105950.19,5950.19,5.95
35,ZYDUSLIFE,5.36,28.12,27,44,0,35,32,100000,72624.55,26217,98841.55,-1158.45,-1.16
,Mean,,,,,,,,,,,,,1.78733333333333
Small Cap,,,,,,,,,,,,,,
36,AEGISLOG,4.39,27.59,12,73,0,30,29,100000,89590.79,9864,99454.79,-545.21,-0.55
37,BALAMINES,4.26,35.06,0,29,0,77,77,100000,99728.44,0,99728.44,-271.56,-0.27
38,CERA,3.8,30.3,2,4,5,35,33,100000,86552.39,15271.5,101823.89,1823.89,1.82
39,DALBHARAT,4.05,26.92,4,13,0,27,26,100000,89547.62,7075,96622.62,-3377.38,-3.38
40,FINEORG,2.98,40,0,8,0,45,45,100000,101088.98,0,101088.98,1088.98,1.09
41,GRANULES,2.75,47.62,33,105,0,44,42,100000,84057.86,19438.65,103496.51,3496.51,3.5
42,AJANTPHARM,2.81,37.5,0,10,0,24,24,100000,98060.19,0,98060.19,-1939.81,-1.94
43,INDIGO,1.26,50,4,5,0,14,12,100000,84824.16,18212.8,103036.96,3036.96,3.04
44,KEI,2.22,33.33,4,5,0,26,24,100000,81806.81,17719.6,99526.41,-473.59,-0.47
45,LEMONTREE,4.15,44.12,0,227,0,34,34,100000,100765.99,0,100765.99,765.99,0.77
46,MAZDOCK,3.13,38.46,0,39,0,26,26,100000,102233.56,0,102233.56,2233.56,2.23
47,RITES,4.47,32.26,0,135,0,31,31,100000,97496,0,97496,-2504,-2.5
48,KPITTECH,5.12,33.33,6,20,0,43,42,100000,87676.82,8795.7,96472.52,-3527.48,-3.53
49,TEJASNET,2.73,34.48,8,30,0,30,29,100000,92008.18,9464,101472.18,1472.18,1.47
50,HINDCOPPER,2.84,50,40,104,0,33,32,100000,90514.47,9894,100408.47,408.47,0.41
,Mean,,,,,,,,,,,,,0.112666666666667
,,,,,,,,,,,,,,
,Mean,2.82,38.43,7.4,41.98,1.18,23.5,22.64,100000,93101.85,7618.61,100720.46,720.46,0.72
