,stock,profitpct,totalTrades,winRate,avgWinpct,avgLosspct,expentancypct,profitFactor
0,ABFRL,-0.04,23,0.52,0.47,-0.6,-0.04,0.85
1,AEGISLOG,-0.04,42,0.4,0.83,-0.64,-0.04,0.88
2,AJANTPHARM,-0.16,32,0.31,0.62,-0.53,-0.17,0.56
3,AXISBANK,-0.22,26,0.27,1.12,-0.72,-0.22,0.57
4,BAJFINANCE,0.33,11,0.36,1.55,-0.42,0.3,2.45
5,BALAMINES,-0.1,12,0.33,0.52,-0.4,-0.1,0.64
6,BHARTIARTL,0.08,16,0.38,1.18,-0.58,0.08,1.23
7,CERA,-0.26,20,0.3,0.36,-0.52,-0.26,0.3
8,CHOLAFIN,-0.03,24,0.42,0.75,-0.6,-0.03,0.91
9,CROMPTON,-0.17,17,0.35,0.62,-0.6,-0.17,0.57
10,DALBHARAT,0.06,15,0.4,0.88,-0.49,0.06,1.2
11,DEEPAKNTR,-0.4,18,0.28,0.33,-0.68,-0.4,0.18
12,FINEORG,-0.29,14,0.29,0.66,-0.68,-0.29,0.39
13,GLENMARK,-0.04,20,0.35,0.92,-0.56,-0.04,0.88
14,GRANULES,-0.13,24,0.33,0.97,-0.68,-0.13,0.71
15,HCLTECH,-0.3,13,0.31,0.95,-0.85,-0.3,0.5
16,HDFCBANK,-0.11,16,0.31,1.13,-0.75,-0.16,0.76
17,HINDCOPPER,0.08,41,0.51,1.06,-0.96,0.08,1.16
18,HINDUNILVR,-0.06,6,0.33,0.5,-0.35,-0.06,0.72
19,ICICIBANK,0.22,24,0.46,1.4,-0.77,0.22,1.53
20,INDIGO,-0.17,21,0.33,1.46,-0.99,-0.17,0.74
21,INFY,-0.0,8,0.38,0.98,-0.59,-0.0,0.99
22,ITC,0.28,9,0.56,0.9,-0.49,0.28,2.31
23,JUBLFOOD,-0.13,25,0.32,0.81,-0.58,-0.13,0.66
24,KEI,-0.31,30,0.33,0.54,-0.73,-0.31,0.37
25,KOTAKBANK,0.19,11,0.27,2.37,-0.71,0.13,1.43
26,KPITTECH,-0.22,33,0.33,0.61,-0.64,-0.22,0.48
27,LEMONTREE,0.02,31,0.48,0.71,-0.67,-0.0,1.06
28,LT,0.37,13,0.31,3.18,-0.88,0.37,1.61
29,MARUTI,-0.07,6,0.33,1.37,-0.79,-0.07,0.86
30,MAZDOCK,-0.22,35,0.37,0.73,-0.78,-0.22,0.55
31,MUTHOOTFIN,-0.25,14,0.21,0.92,-0.57,-0.25,0.44
32,NTPC,0.2,23,0.35,1.65,-0.58,0.2,1.53
33,PAGEIND,0.29,9,0.44,1.31,-0.53,0.29,1.97
34,PERSISTENT,0.18,20,0.5,0.97,-0.61,0.18,1.59
35,POLYCAB,0.4,23,0.43,1.75,-0.64,0.4,2.1
36,RELIANCE,0.3,7,0.57,0.9,-0.49,0.3,2.45
37,RITES,-0.08,19,0.42,0.87,-0.77,-0.08,0.82
38,SBIN,0.78,18,0.5,2.32,-0.77,0.78,3.01
39,SRF,0.02,13,0.31,0.98,-0.4,0.02,1.08
40,SUNPHARMA,-0.55,18,0.22,0.68,-0.9,-0.55,0.22
41,TATAELXSI,0.12,11,0.64,0.62,-0.74,0.12,1.46
42,TATASTEEL,0.42,14,0.64,0.94,-0.5,0.42,3.36
43,TCS,-0.08,6,0.17,2.51,-0.59,-0.08,0.85
44,TEJASNET,0.02,25,0.36,1.04,-0.56,0.02,1.05
45,UBL,-0.39,19,0.11,0.36,-0.48,-0.39,0.09
46,ULTRACEMCO,-0.12,6,0.5,0.87,-1.11,-0.12,0.79
47,VOLTAS,-0.2,30,0.37,0.64,-0.68,-0.2,0.54
48,WIPRO,0.53,21,0.67,1.17,-0.74,0.53,3.17
49,ZYDUSLIFE,0.05,14,0.43,0.8,-0.51,0.05,1.17
