,stock,profitpct,totalTrades,winRate,avgWinpct,avgLosspct,expentancypct,profitFactor
0,ABFRL,0.07,20,0.6,0.47,-0.53,0.07,1.33
1,AEGISLOG,-0.08,34,0.41,0.68,-0.61,-0.08,0.77
2,AJANTPHARM,-0.12,28,0.36,0.62,-0.56,-0.14,0.66
3,AXISBANK,-0.11,18,0.28,1.48,-0.72,-0.11,0.79
4,BAJFINANCE,0.42,9,0.44,1.55,-0.48,0.42,2.56
5,BALAMINES,-0.09,11,0.36,0.52,-0.44,-0.09,0.67
6,BHARTIARTL,0.27,12,0.42,1.4,-0.53,0.27,1.87
7,CERA,-0.25,18,0.28,0.39,-0.5,-0.25,0.3
8,CHOLAFIN,0.06,20,0.5,0.75,-0.63,0.06,1.19
9,CROMPTON,-0.02,12,0.5,0.62,-0.66,-0.02,0.94
10,DALBHARAT,0.13,9,0.22,2.1,-0.43,0.13,1.4
11,DEEPAKNTR,-0.22,13,0.38,0.33,-0.57,-0.22,0.36
12,FINEORG,-0.29,14,0.29,0.66,-0.68,-0.29,0.39
13,GLENMARK,-0.09,16,0.31,1.15,-0.65,-0.09,0.8
14,GRANULES,-0.14,20,0.3,1.05,-0.64,-0.14,0.7
15,HCLTECH,-0.04,11,0.27,0.96,-0.42,-0.04,0.86
16,HDFCBANK,-0.07,15,0.33,1.13,-0.74,-0.12,0.84
17,HINDCOPPER,0.31,34,0.56,1.12,-0.72,0.31,1.97
18,HINDUNILVR,-0.06,6,0.33,0.5,-0.35,-0.06,0.72
19,ICICIBANK,0.18,19,0.47,1.22,-0.77,0.18,1.43
20,INDIGO,0.03,17,0.35,1.58,-0.82,0.03,1.06
21,INFY,-0.21,7,0.29,0.75,-0.59,-0.21,0.5
22,ITC,0.22,8,0.5,0.94,-0.49,0.22,1.91
23,JUBLFOOD,-0.08,21,0.33,0.85,-0.54,-0.08,0.79
24,KEI,-0.26,22,0.32,0.7,-0.72,-0.26,0.46
25,KOTAKBANK,0.3,10,0.3,2.37,-0.68,0.24,1.75
26,KPITTECH,-0.16,29,0.31,0.63,-0.51,-0.16,0.55
27,LEMONTREE,-0.01,27,0.44,0.73,-0.64,-0.03,0.98
28,LT,0.78,8,0.38,3.78,-1.01,0.78,2.24
29,MARUTI,0.32,3,0.33,2.26,-0.64,0.32,1.76
30,MAZDOCK,-0.31,30,0.37,0.7,-0.89,-0.31,0.46
31,MUTHOOTFIN,-0.27,12,0.17,1.26,-0.58,-0.27,0.44
32,NTPC,0.29,19,0.37,1.73,-0.54,0.29,1.86
33,PAGEIND,0.74,6,0.67,1.31,-0.4,0.74,6.53
34,PERSISTENT,0.13,18,0.44,1.06,-0.61,0.13,1.38
35,POLYCAB,0.46,22,0.45,1.75,-0.62,0.46,2.36
36,RELIANCE,0.3,7,0.57,0.9,-0.49,0.3,2.45
37,RITES,-0.12,17,0.41,0.91,-0.84,-0.12,0.76
38,SBIN,1.04,15,0.6,2.32,-0.88,1.04,3.98
39,SRF,0.09,9,0.44,0.98,-0.62,0.09,1.26
40,SUNPHARMA,-0.51,16,0.25,0.68,-0.9,-0.51,0.25
41,TATAELXSI,0.12,11,0.64,0.62,-0.74,0.12,1.46
42,TATASTEEL,0.89,8,0.75,1.36,-0.52,0.89,7.87
43,TCS,-0.08,6,0.17,2.51,-0.59,-0.08,0.85
44,TEJASNET,-0.01,18,0.33,1.01,-0.52,-0.01,0.97
45,UBL,-0.34,16,0.12,0.36,-0.44,-0.34,0.11
46,ULTRACEMCO,0.05,5,0.6,0.87,-1.19,0.05,1.1
47,VOLTAS,-0.16,26,0.42,0.64,-0.75,-0.16,0.62
48,WIPRO,0.53,20,0.65,1.22,-0.74,0.53,3.07
49,ZYDUSLIFE,-0.01,11,0.45,0.75,-0.64,-0.01,0.98
