,stock,profitpct,totalTrades,winRate,avgWinpct,avgLosspct,expentancypct,profitFactor
0,ABFRL,0.16,14,0.36,2.22,-0.99,0.16,1.25
1,AEGISLOG,0.45,28,0.46,2.26,-1.11,0.45,1.76
2,AJANTPHARM,-0.08,22,0.27,2.29,-0.96,-0.08,0.89
3,AXISBANK,1.19,6,0.67,2.35,-1.13,1.19,4.18
4,BAJFINANCE,-0.12,6,0.5,0.93,-1.17,-0.12,0.8
5,BALAMINES,-0.68,9,0.22,0.87,-1.13,-0.68,0.22
6,BHARTIARTL,0.15,5,0.6,1.32,-1.62,0.15,1.23
7,CERA,-0.69,13,0.23,1.26,-1.28,-0.69,0.3
8,CHOLAFIN,0.63,11,0.55,2.1,-1.14,0.63,2.21
9,CROMPTON,1.07,8,0.5,3.03,-0.89,1.07,3.43
10,DALBHARAT,0.28,7,0.43,2.29,-1.23,0.28,1.39
11,DEEPAKNTR,0.36,8,0.38,2.39,-0.86,0.36,1.66
12,FINEORG,-0.42,11,0.36,1.64,-1.61,-0.42,0.58
13,GLENMARK,0.22,11,0.45,1.47,-0.82,0.22,1.5
14,GRANULES,0.83,11,0.45,3.26,-1.19,0.83,2.27
15,HCLTECH,0.53,7,0.71,0.99,-0.63,0.53,3.91
16,HDFCBANK,1.77,9,0.67,3.02,-1.11,1.64,8.15
17,HINDCOPPER,0.41,22,0.45,2.29,-1.17,0.41,1.64
18,HINDUNILVR,1.02,5,0.4,3.21,-0.67,0.88,4.82
19,ICICIBANK,0.04,12,0.25,3.71,-1.19,0.04,1.04
20,INDIGO,1.17,11,0.55,3.31,-1.38,1.17,2.87
21,INFY,0.74,4,0.75,1.63,-1.92,0.74,2.54
22,ITC,-0.13,4,0.25,1.42,-0.97,-0.37,0.73
23,JUBLFOOD,1.31,14,0.57,3.13,-1.11,1.31,3.76
24,KEI,-0.11,11,0.45,0.9,-0.96,-0.11,0.79
25,KOTAKBANK,-0.39,4,0.25,1.07,-1.3,-0.71,0.41
26,KPITTECH,0.3,20,0.3,3.78,-1.28,0.24,1.37
27,LEMONTREE,-0.08,12,0.33,2.41,-1.33,-0.08,0.9
28,LT,0.05,5,0.4,2.46,-1.56,0.05,1.05
29,MARUTI,0.55,2,0.5,1.22,-0.12,0.55,10.29
30,MAZDOCK,-0.19,17,0.35,1.81,-1.28,-0.19,0.77
31,MUTHOOTFIN,1.32,6,0.83,1.74,-0.81,1.32,10.75
32,NTPC,1.41,13,0.69,2.44,-0.9,1.41,6.09
33,PAGEIND,0.78,5,0.6,1.36,-0.19,0.74,21.69
34,PERSISTENT,0.16,9,0.33,3.08,-1.3,0.16,1.19
35,POLYCAB,2.34,19,0.68,3.94,-1.34,2.27,7.63
36,RELIANCE,0.72,5,0.4,3.13,-0.89,0.72,2.36
37,RITES,0.03,12,0.5,1.36,-1.3,0.03,1.05
38,SBIN,2.18,7,0.71,3.78,-1.82,2.18,5.19
39,SRF,-0.27,7,0.43,0.82,-1.08,-0.27,0.57
40,SUNPHARMA,-1.18,12,0.17,0.18,-1.62,-1.32,0.03
41,TATAELXSI,-0.52,8,0.25,0.95,-1.01,-0.52,0.31
42,TATASTEEL,-0.3,4,0.25,2.33,-1.18,-0.3,0.66
43,TCS,0.01,3,0.33,1.48,-1.45,-0.48,1.02
44,TEJASNET,-0.6,5,0.2,2.43,-1.35,-0.6,0.45
45,UBL,0.03,15,0.4,2.04,-1.31,0.03,1.04
46,ULTRACEMCO,-0.56,2,0.5,0.89,-2.0,-0.56,0.44
47,VOLTAS,1.72,16,0.62,3.27,-0.85,1.72,6.39
48,WIPRO,-0.31,13,0.54,0.77,-1.58,-0.31,0.57
49,ZYDUSLIFE,0.61,6,0.5,2.53,-1.31,0.61,1.94
