stock,Multi_200_SL_1,Multi_200_SL_2,Multi_200_SL_3,Multi_200_SL_5,Multi_200_SL_7,avgProfitPct
PAYTM_minute,0.46,0.93,1.24,1.21,1.21,1.01
CANBK_minute,0.39,0.95,0.93,1.01,1.01,0.86
BANKBARODA_minute,0.31,0.89,0.84,0.82,0.82,0.74
INDGN_minute,0.36,0.85,0.83,0.83,0.75,0.72
POWERGRID_minute,0.45,0.73,0.77,0.77,0.77,0.7
BANDHANBNK_minute,0.48,0.55,0.69,0.83,0.81,0.67
HEG_minute,0.35,0.58,0.58,0.78,0.78,0.61
MFSL_minute,0.5,0.35,0.64,0.71,0.71,0.58
SBIN_minute,0.48,0.53,0.59,0.59,0.59,0.56
CAPLIPOINT_minute,0.37,0.54,0.61,0.59,0.59,0.54
PCBL_minute,0.35,0.5,0.57,0.62,0.62,0.53
LT_minute,0.49,0.45,0.45,0.45,0.45,0.46
RELIANCE_minute,0.56,0.46,0.42,0.4,0.4,0.45
TECHM_minute,0.38,0.53,0.41,0.46,0.46,0.45
UNIONBANK_minute,0.34,0.46,0.42,0.48,0.48,0.44
DRREDDY_minute,0.38,0.45,0.43,0.39,0.41,0.41
GAEL_minute,0.32,0.36,0.36,0.4,0.4,0.37
BPCL_minute,0.42,0.45,0.31,0.31,0.31,0.36
HDFCLIFE_minute,0.36,0.36,0.36,0.36,0.36,0.36
