,Symbol,Max Drawdown,Hit Rate,Holding Shares,Short Shares,Max Holding,Max Short,Out of Capital,Short Orders,Long Orders,Initial Capital,Current Capital,Holding Capital,Total Equity,Profit,Profit Percentage
0,RELIANCE,18.33,30.77,0.0,0.0,14.0,8.0,0.0,4.0,9.0,100000.0,98605.02,0.0,98605.02,-1394.98,-1.39
1,HDFCBANK,17.8,66.67,10.0,0.0,10.0,6.0,0.0,5.0,6.0,100000.0,82695.95,17720.0,100415.95,415.95,0.42
2,BHARTIARTL,18.22,40.0,11.0,0.0,11.0,9.0,0.0,7.0,10.0,100000.0,82567.1,17527.4,100094.5,94.5,0.09
3,TCS,18.69,31.82,2.0,0.0,4.0,2.0,0.0,11.0,12.0,100000.0,90538.25,8212.0,98750.25,-1249.75,-1.25
4,ICICIBANK,31.36,41.67,7.0,0.0,27.0,8.0,0.0,11.0,14.0,100000.0,90997.68,8984.5,99982.18,-17.82,-0.02
5,SBIN,19.19,21.43,12.0,0.0,23.0,13.0,0.0,8.0,7.0,100000.0,88776.9,9552.0,98328.9,-1671.1,-1.67
6,INFY,19.15,9.09,5.0,0.0,13.0,6.0,0.0,10.0,13.0,100000.0,87699.41,9428.25,97127.66,-2872.34,-2.87
7,HINDUNILVR,30.77,27.59,4.0,0.0,12.0,4.0,0.0,12.0,18.0,100000.0,90972.79,9308.0,100280.79,280.79,0.28
8,ITC,19.02,38.89,0.0,0.0,53.0,27.0,0.0,10.0,8.0,100000.0,100584.19,0.0,100584.19,584.19,0.58
9,KOTAKBANK,17.65,23.53,5.0,0.0,10.0,5.0,0.0,9.0,9.0,100000.0,90255.52,8925.0,99180.52,-819.47,-0.82
10,LT,14.63,50.0,4.0,0.0,4.0,2.0,0.0,3.0,5.0,100000.0,85672.0,14439.8,100111.8,111.8,0.11
11,AXISBANK,17.83,28.57,0.0,0.0,15.0,9.0,0.0,3.0,4.0,100000.0,99941.0,0.0,99941.0,-59.0,-0.06
12,BAJFINANCE,10.94,37.5,14.0,0.0,15.0,15.0,0.0,3.0,6.0,100000.0,91287.0,9569.0,100856.0,856.0,0.86
13,MARUTI,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,100000.0,100000.0,0.0,100000.0,0.0,0.0
14,NTPC,19.14,26.67,56.0,0.0,56.0,32.0,0.0,7.0,10.0,100000.0,80962.51,18636.8,99599.31,-400.69,-0.4
15,TATASTEEL,11.06,30.77,72.0,0.0,74.0,77.0,0.0,7.0,7.0,100000.0,89802.98,9716.4,99519.38,-480.62,-0.48
16,ULTRACEMCO,10.22,66.67,0.0,0.0,1.0,1.0,15.0,3.0,3.0,100000.0,100157.47,0.0,100157.47,157.47,0.16
17,SUNPHARMA,25.68,42.31,5.0,0.0,17.0,6.0,0.0,17.0,10.0,100000.0,91996.52,9450.0,101446.52,1446.51,1.45
18,WIPRO,34.35,37.04,31.0,0.0,118.0,45.0,0.0,9.0,19.0,100000.0,91745.17,9179.1,100924.27,924.27,0.92
19,HCLTECH,36.43,38.46,8.0,0.0,22.0,7.0,0.0,13.0,15.0,100000.0,84566.91,15398.4,99965.31,-34.69,-0.03
20,ABFRL,20.38,30.77,0.0,0.0,77.0,61.0,0.0,12.0,14.0,100000.0,97815.59,0.0,97815.59,-2184.41,-2.18
21,VOLTAS,32.29,45.95,0.0,0.0,30.0,10.0,0.0,18.0,19.0,100000.0,99700.51,0.0,99700.51,-299.49,-0.3
22,CHOLAFIN,18.96,38.24,0.0,0.0,15.0,8.0,0.0,17.0,17.0,100000.0,101142.78,0.0,101142.78,1142.78,1.14
23,CROMPTON,34.35,34.38,26.0,0.0,117.0,33.0,0.0,14.0,19.0,100000.0,93258.3,10277.8,103536.1,3536.1,3.54
24,DEEPAKNTR,39.33,48.39,0.0,0.0,19.0,4.0,0.0,12.0,19.0,100000.0,98396.51,0.0,98396.51,-1603.49,-1.6
25,GLENMARK,25.59,36.67,6.0,0.0,27.0,8.0,0.0,13.0,18.0,100000.0,90256.81,9671.4,99928.21,-71.79,-0.07
26,JUBLFOOD,19.78,41.38,0.0,0.0,42.0,21.0,0.0,17.0,12.0,100000.0,101055.48,0.0,101055.48,1055.48,1.06
27,MUTHOOTFIN,27.21,38.0,4.0,0.0,12.0,7.0,0.0,28.0,23.0,100000.0,89247.86,8560.0,97807.86,-2192.14,-2.19
28,PAGEIND,0.0,0.0,0.0,0.0,0.0,0.0,42.0,0.0,0.0,100000.0,100000.0,0.0,100000.0,0.0,0.0
29,PERSISTENT,16.4,48.28,0.0,0.0,4.0,2.0,0.0,16.0,13.0,100000.0,100802.62,0.0,100802.62,802.62,0.8
30,POLYCAB,16.54,50.0,0.0,0.0,3.0,2.0,0.0,18.0,16.0,100000.0,98326.52,0.0,98326.52,-1673.48,-1.67
31,SRF,30.48,43.24,0.0,0.0,13.0,4.0,0.0,20.0,17.0,100000.0,99258.75,0.0,99258.75,-741.25,-0.74
32,TATAELXSI,29.06,31.67,0.0,0.0,4.0,1.0,10.0,31.0,29.0,100000.0,100443.74,0.0,100443.74,443.74,0.44
33,UBL,40.95,33.93,22.0,0.0,23.0,5.0,0.0,26.0,36.0,100000.0,58628.43,44880.0,103508.43,3508.43,3.51
34,ZYDUSLIFE,38.06,40.0,27.0,0.0,47.0,12.0,0.0,16.0,27.0,100000.0,75680.74,26217.0,101897.74,1897.74,1.9
35,AEGISLOG,32.07,45.31,13.0,0.0,75.0,26.0,0.0,29.0,36.0,100000.0,96201.38,10686.0,106887.38,6887.38,6.89
