,Symbol,Max Drawdown,Hit Rate,Holding Shares,Short Shares,Max Holding,Max Short,Out of Capital,Short Orders,Long Orders,Initial Capital,Current Capital,Holding Capital,Total Equity,Profit,Profit Percentage
0,RELIANCE,30.99,23.08,0.0,0.0,24.0,8.0,0.0,4.0,9.0,100000.0,98813.2,0.0,98813.2,-1186.8,-1.19
1,HDFCBANK,31.34,57.14,18.0,0.0,18.0,6.0,0.0,5.0,6.0,100000.0,68481.48,31896.0,100377.48,377.48,0.38
2,BHARTIARTL,25.19,46.67,10.0,0.0,16.0,9.0,0.0,7.0,10.0,100000.0,85636.13,15934.0,101570.13,1570.13,1.57
3,TCS,21.21,31.82,1.0,0.0,6.0,2.0,0.0,11.0,12.0,100000.0,95140.32,4106.0,99246.32,-753.68,-0.75
4,ICICIBANK,37.68,47.83,14.0,0.0,32.0,8.0,0.0,11.0,14.0,100000.0,82081.48,17969.0,100050.48,50.48,0.05
5,SBIN,19.5,21.43,12.0,0.0,26.0,13.0,0.0,8.0,7.0,100000.0,90062.04,9552.0,99614.04,-385.96,-0.39
6,INFY,27.84,9.52,8.0,0.0,13.0,6.0,0.0,10.0,13.0,100000.0,80991.44,15085.2,96076.64,-3923.36,-3.92
7,HINDUNILVR,35.66,34.48,4.0,0.0,15.0,4.0,0.0,12.0,18.0,100000.0,92025.76,9308.0,101333.76,1333.76,1.33
8,ITC,32.07,38.89,0.0,0.0,82.0,27.0,0.0,10.0,8.0,100000.0,100227.57,0.0,100227.57,227.57,0.23
9,KOTAKBANK,25.72,18.75,10.0,0.0,14.0,5.0,0.0,9.0,9.0,100000.0,81215.78,17850.0,99065.78,-934.22,-0.93
10,LT,14.79,50.0,4.0,0.0,4.0,2.0,0.0,3.0,5.0,100000.0,85397.4,14439.8,99837.2,-162.8,-0.16
11,AXISBANK,18.08,28.57,0.0,0.0,15.0,9.0,0.0,3.0,4.0,100000.0,99276.87,0.0,99276.87,-723.13,-0.72
12,BAJFINANCE,19.2,28.57,27.0,0.0,27.0,15.0,0.0,3.0,6.0,100000.0,81644.24,18454.5,100098.74,98.74,0.1
13,MARUTI,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,100000.0,100000.0,0.0,100000.0,0.0,0.0
14,NTPC,20.58,26.67,55.0,0.0,55.0,32.0,0.0,7.0,10.0,100000.0,79434.75,18304.0,97738.75,-2261.25,-2.26
15,TATASTEEL,11.24,23.08,72.0,0.0,74.0,77.0,0.0,7.0,7.0,100000.0,89418.76,9716.4,99135.16,-864.84,-0.86
16,ULTRACEMCO,10.38,71.43,0.0,0.0,1.0,1.0,14.0,4.0,3.0,100000.0,99915.08,0.0,99915.08,-84.93,-0.08
17,SUNPHARMA,25.39,44.0,10.0,0.0,16.0,6.0,0.0,17.0,10.0,100000.0,82112.8,18900.0,101012.8,1012.8,1.01
18,WIPRO,47.3,53.85,46.0,0.0,177.0,44.0,0.0,9.0,19.0,100000.0,86826.59,13620.6,100447.19,447.19,0.45
