stock,profitPct,totalTrades,winRate,avgWinpct,avgLosspct,expentancypct,profitFactor
CANBK_minute,1.28,9,0.78,2.04,-1.48,1.26,4.81
BHEL_minute,1.19,16,0.69,1.84,-0.8,1.02,6.33
INDGN_minute,1.17,10,0.6,2.71,-1.38,1.07,3.93
CHAMBLFERT_minute,1.14,22,0.64,2.09,-0.73,1.06,5.02
IOC_minute,0.99,12,0.67,1.81,-0.55,1.02,6.56
BANDHANBNK_minute,0.85,14,0.64,2.13,-1.35,0.89,2.85
MARUTI_minute,0.82,4,0.5,1.59,-0.1,0.75,32.83
POWERGRID_minute,0.82,5,0.6,1.7,-0.88,0.67,5.78
TECHM_minute,0.81,7,0.57,2.15,-0.6,0.97,4.77
TVSMOTOR_minute,0.74,12,0.67,1.64,-0.98,0.77,3.36
VOLTAS_minute,0.71,18,0.72,1.58,-1.39,0.75,2.95
GODREJIND_minute,0.68,34,0.53,2.14,-1.06,0.63,2.42
INDHOTEL_minute,0.67,10,0.6,1.54,-0.73,0.63,3.17
SAPPHIRE_minute,0.65,24,0.5,2.06,-0.78,0.64,2.62
ALKEM_minute,0.65,16,0.69,1.15,-0.53,0.63,6.01
BPCL_minute,0.65,15,0.53,1.76,-0.69,0.62,2.94
BANKBARODA_minute,0.62,5,0.4,2.53,-0.64,0.63,2.65
FLUOROCHEM_minute,0.62,10,0.4,2.29,-0.56,0.58,2.74
NTPC_minute,0.55,10,0.5,1.55,-0.45,0.55,4.26
HINDALCO_minute,0.54,12,0.58,1.61,-1.08,0.49,2.1
STARHEALTH_minute,0.54,13,0.62,1.35,-0.75,0.54,2.87
AXISBANK_minute,0.51,2,1.0,0.51,0.0,0.51,inf
TATAPOWER_minute,0.51,15,0.53,1.55,-0.62,0.54,2.86
NATIONALUM_minute,0.5,21,0.48,2.05,-0.93,0.49,2.01
IRCTC_minute,0.5,16,0.38,2.34,-0.6,0.5,2.35
KALYANKJIL_minute,0.5,39,0.51,1.71,-0.58,0.59,3.29
TCS_minute,0.49,8,0.62,1.03,-0.42,0.49,4.07
TBOTEK_minute,0.49,18,0.5,1.86,-0.85,0.51,2.19
QUESS_minute,0.46,28,0.5,1.74,-0.67,0.53,2.59
LT_minute,0.45,2,0.5,0.89,0.0,0.45,inf
IEX_minute,0.45,23,0.61,1.39,-1.11,0.41,1.95
LUPIN_minute,0.44,17,0.71,0.8,-0.53,0.41,3.61
MANKIND_minute,0.43,19,0.63,1.16,-0.67,0.48,2.95
KAJARIACER_minute,0.42,16,0.56,1.55,-1.17,0.36,1.98
KEI_minute,0.41,14,0.5,1.34,-0.56,0.39,2.38
ASIANPAINT_minute,0.41,4,0.5,1.46,-0.55,0.45,2.63
TATAINVEST_minute,0.41,19,0.26,4.25,-0.95,0.42,1.71
GAEL_minute,0.41,32,0.47,1.62,-0.85,0.31,1.79
POLYMED_minute,0.4,31,0.55,1.4,-0.68,0.46,2.52
CAMS_minute,0.39,31,0.52,1.81,-1.1,0.4,1.88
TATACHEM_minute,0.39,15,0.53,1.86,-1.25,0.41,1.69
PCBL_minute,0.37,35,0.49,1.76,-0.73,0.48,2.27
WHIRLPOOL_minute,0.37,37,0.38,2.56,-0.97,0.36,1.67
UNIONBANK_minute,0.36,26,0.42,1.56,-0.57,0.33,2.02
FINCABLES_minute,0.36,25,0.4,2.2,-0.89,0.35,1.66
ENDURANCE_minute,0.34,21,0.71,0.95,-1.25,0.32,1.9
PIIND_minute,0.33,15,0.53,1.43,-0.86,0.36,1.9
COFORGE_minute,0.33,6,0.67,0.78,-0.46,0.36,3.38
NETWEB_minute,0.33,21,0.62,1.27,-1.33,0.28,1.55
COROMANDEL_minute,0.33,21,0.48,1.46,-1.02,0.16,1.43
UPL_minute,0.33,21,0.71,0.77,-0.76,0.34,2.55
CANFINHOME_minute,0.33,18,0.56,1.34,-0.85,0.36,1.96
CAPLIPOINT_minute,0.32,34,0.47,1.55,-0.89,0.26,1.55
BASF_minute,0.32,31,0.45,1.78,-1.07,0.22,1.46
APOLLOTYRE_minute,0.31,18,0.5,1.53,-0.97,0.28,1.77
KAYNES_minute,0.31,28,0.46,1.82,-0.6,0.53,2.65
MAHLIFE_minute,0.31,14,0.57,1.0,-0.71,0.27,1.88
TATACONSUM_minute,0.3,9,0.67,0.86,-0.84,0.3,2.06
NAM-INDIA_minute,0.29,16,0.44,1.68,-0.69,0.35,1.91
RAINBOW_minute,0.28,25,0.4,2.05,-0.81,0.34,1.69
DRREDDY_minute,0.28,17,0.59,1.04,-0.79,0.29,1.89
BEL_minute,0.28,18,0.5,1.73,-1.12,0.3,1.54
COALINDIA_minute,0.27,10,0.4,1.43,-0.61,0.21,1.87
ASTERDM_minute,0.25,17,0.47,1.66,-1.03,0.24,1.44
LTIM_minute,0.25,12,0.58,0.89,-0.69,0.23,1.8
UNOMINDA_minute,0.24,26,0.35,2.39,-0.71,0.36,1.78
BALAMINES_minute,0.24,17,0.35,2.12,-0.76,0.26,1.53
ECLERX_minute,0.24,27,0.52,1.48,-0.95,0.31,1.67
BHARATFORG_minute,0.24,14,0.36,1.64,-0.57,0.22,1.59
LAURUSLABS_minute,0.24,21,0.52,1.1,-0.59,0.3,2.05
SHYAMMETL_minute,0.23,27,0.37,2.49,-1.0,0.29,1.46
AFFLE_minute,0.23,33,0.39,2.34,-1.06,0.28,1.43
