stock,profitPct,totalTrades,winRate,avgWinpct,avgLosspct,expentancypct,profitFactor
RELIANCE_minute,0.56,26,0.65,1.28,-0.76,0.57,3.18
MFSL_minute,0.5,27,0.52,1.73,-0.84,0.5,2.23
LT_minute,0.49,14,0.5,1.84,-0.98,0.43,2.19
BANDHANBNK_minute,0.48,38,0.63,1.56,-1.26,0.52,2.13
SBIN_minute,0.48,21,0.62,1.4,-0.92,0.52,2.47
PAYTM_minute,0.46,53,0.55,1.34,-0.72,0.4,2.24
QUESS_minute,0.46,61,0.48,1.67,-0.64,0.46,2.46
POWERGRID_minute,0.45,26,0.54,1.77,-1.09,0.45,2.06
AFFLE_minute,0.44,56,0.5,1.93,-0.95,0.49,2.05
BPCL_minute,0.42,56,0.54,1.5,-0.86,0.4,2.1
CANBK_minute,0.39,31,0.61,1.32,-1.1,0.38,1.9
BHEL_minute,0.39,52,0.48,1.61,-0.85,0.33,1.81
DRREDDY_minute,0.38,49,0.61,1.11,-0.78,0.38,2.37
TECHM_minute,0.38,30,0.47,1.48,-0.53,0.41,2.46
CAPLIPOINT_minute,0.37,59,0.49,1.64,-0.92,0.34,1.72
LUPIN_minute,0.37,50,0.58,1.15,-0.79,0.33,2.1
GODREJIND_minute,0.36,53,0.47,2.01,-1.14,0.34,1.63
HDFCLIFE_minute,0.36,17,0.53,1.18,-0.56,0.36,2.38
INDGN_minute,0.36,25,0.56,1.89,-1.68,0.32,1.58
KALYANKJIL_minute,0.36,72,0.53,1.31,-0.59,0.41,2.56
PCBL_minute,0.35,72,0.51,1.52,-0.82,0.38,1.96
HEG_minute,0.35,57,0.44,2.04,-0.87,0.4,1.88
NTPC_minute,0.34,39,0.49,1.42,-0.63,0.37,2.26
UNIONBANK_minute,0.34,57,0.4,1.76,-0.67,0.31,1.78
CHAMBLFERT_minute,0.33,51,0.47,1.83,-1.0,0.33,1.62
GAEL_minute,0.32,65,0.48,1.57,-0.88,0.29,1.67
EICHERMOT_minute,0.32,35,0.49,1.43,-0.74,0.31,1.82
GICRE_minute,0.32,85,0.64,1.07,-0.98,0.32,1.89
