stock,profitPct,totalTrades,winRate,avgWinpct,avgLosspct,expentancypct,profitFactor
CANBK_minute,2.49,9,0.78,3.62,-1.48,2.49,8.56
BANKBARODA_minute,2.14,5,0.4,6.32,-0.64,2.15,6.62
MM_minute,1.71,8,0.75,2.41,-0.66,1.64,10.93
INDGN_minute,1.7,10,0.5,4.31,-1.07,1.62,5.03
MOTILALOFS_minute,1.55,33,0.67,3.38,-1.85,1.64,3.65
TECHM_minute,1.45,7,0.71,2.75,-1.24,1.61,5.53
BHEL_minute,1.38,16,0.69,2.19,-0.82,1.25,7.38
KAYNES_minute,1.31,28,0.54,3.86,-1.55,1.35,2.87
PERSISTENT_minute,1.23,9,0.78,1.88,-1.06,1.23,6.23
NUVAMA_minute,1.2,18,0.67,2.44,-1.33,1.18,4.4
CHAMBLFERT_minute,1.14,22,0.64,2.56,-1.48,1.09,3.03
ASIANPAINT_minute,1.12,4,0.75,1.76,-0.86,1.1,6.15
POLYMED_minute,0.97,31,0.68,2.04,-1.31,0.96,3.29
VOLTAS_minute,0.93,18,0.72,1.92,-1.64,0.93,3.05
JSWENERGY_minute,0.91,27,0.59,2.51,-1.55,0.86,2.59
GAEL_minute,0.9,32,0.56,2.51,-1.48,0.77,2.55
COFORGE_minute,0.89,6,0.67,1.7,-0.46,0.98,7.4
SAPPHIRE_minute,0.88,24,0.58,2.27,-1.08,0.87,2.93
INDHOTEL_minute,0.8,10,0.6,1.86,-0.87,0.77,3.22
UPL_minute,0.77,21,0.86,1.12,-1.38,0.77,4.89
LTF_minute,0.76,17,0.65,1.78,-0.98,0.81,3.34
NATIONALUM_minute,0.75,21,0.57,2.65,-1.73,0.77,2.04
TVSMOTOR_minute,0.75,12,0.75,1.41,-1.08,0.79,3.91
TBOTEK_minute,0.74,18,0.56,2.47,-1.38,0.76,2.23
PAYTM_minute,0.74,22,0.68,2.32,-2.53,0.78,1.97
IOC_minute,0.73,12,0.58,1.94,-0.9,0.76,3.01
STARHEALTH_minute,0.72,13,0.62,1.92,-1.04,0.78,2.95
HINDALCO_minute,0.72,12,0.67,1.82,-2.02,0.54,2.41
CYIENT_minute,0.72,23,0.61,2.18,-1.7,0.66,2.25
SBILIFE_minute,0.68,6,0.67,1.54,-1.2,0.62,2.56
BANDHANBNK_minute,0.67,14,0.57,2.45,-1.6,0.72,2.05
BLUESTARCO_minute,0.65,21,0.43,3.05,-1.22,0.61,1.87
POWERGRID_minute,0.65,5,0.6,1.7,-1.66,0.36,3.09
BPCL_minute,0.64,15,0.47,2.5,-1.01,0.63,2.17
MARUTI_minute,0.63,4,0.5,1.24,-0.1,0.57,25.59
FLUOROCHEM_minute,0.63,10,0.5,2.67,-1.3,0.68,2.05
NETWEB_minute,0.61,21,0.48,2.7,-1.36,0.57,1.81
UNOMINDA_minute,0.59,26,0.46,2.66,-1.05,0.66,2.17
PCBL_minute,0.57,35,0.6,2.32,-1.66,0.73,2.1
GODREJIND_minute,0.57,34,0.47,2.62,-1.4,0.49,1.76
IDEA_minute,0.56,21,0.52,2.49,-1.55,0.57,1.96
OBEROIRLTY_minute,0.56,16,0.56,2.12,-1.13,0.7,2.41
SHYAMMETL_minute,0.56,27,0.59,2.26,-1.72,0.64,1.91
COROMANDEL_minute,0.53,21,0.57,1.68,-1.26,0.42,2.0
UNIONBANK_minute,0.51,26,0.62,1.73,-1.37,0.53,2.01
AXISBANK_minute,0.51,2,1.0,0.51,0.0,0.51,inf
EICHERMOT_minute,0.51,6,0.83,1.02,-2.39,0.45,2.12
ELECON_minute,0.51,26,0.54,1.78,-1.16,0.42,1.95
POWERINDIA_minute,0.5,47,0.43,4.1,-1.89,0.66,1.6
WHIRLPOOL_minute,0.5,37,0.49,2.58,-1.44,0.51,1.79
ALKEM_minute,0.5,16,0.75,1.02,-1.25,0.46,3.28
TCS_minute,0.49,8,0.62,1.03,-0.42,0.49,4.07
SUZLON_minute,0.49,12,0.42,2.55,-1.26,0.33,1.45
LTIM_minute,0.49,12,0.67,0.91,-0.46,0.45,3.92
METROBRAND_minute,0.49,17,0.41,3.58,-1.36,0.67,1.84
IEX_minute,0.49,23,0.57,1.52,-0.94,0.45,2.11
KALYANKJIL_minute,0.48,39,0.62,2.15,-1.98,0.56,1.86
LUPIN_minute,0.48,17,0.59,1.18,-0.56,0.46,3.01
SHRIRAMFIN_minute,0.45,9,0.67,0.96,-0.56,0.45,3.44
ICICIBANK_minute,0.45,8,0.62,1.42,-0.99,0.52,2.39
APOLLOHOSP_minute,0.44,11,0.64,0.91,-0.4,0.43,5.32
IRCTC_minute,0.44,16,0.38,2.34,-0.7,0.44,2.02
HINDZINC_minute,0.44,25,0.32,3.81,-1.34,0.31,1.43
KIMS_minute,0.43,28,0.57,1.37,-1.09,0.31,1.66
APOLLOTYRE_minute,0.43,18,0.56,1.65,-1.22,0.37,1.93
MSUMI_minute,0.41,12,0.33,3.49,-1.26,0.32,1.58
MCX_minute,0.41,18,0.61,2.2,-1.82,0.63,1.89
CAPLIPOINT_minute,0.41,34,0.53,1.77,-1.28,0.34,1.56
POLICYBZR_minute,0.41,19,0.37,3.49,-1.68,0.22,1.21
DEEPAKFERT_minute,0.4,26,0.38,3.04,-1.55,0.21,1.22
PIIND_minute,0.4,15,0.67,1.27,-1.2,0.45,2.11
VIJAYA_minute,0.38,35,0.34,2.58,-0.76,0.39,1.86
FACT_minute,0.38,44,0.57,2.38,-2.28,0.37,1.37
SAIL_minute,0.38,18,0.44,3.0,-1.96,0.24,1.36
HSCL_minute,0.38,16,0.44,2.9,-1.98,0.15,1.14
SIEMENS_minute,0.38,12,0.58,1.51,-1.18,0.39,2.25
TIMKEN_minute,0.37,26,0.42,2.25,-1.07,0.33,1.54
FINCABLES_minute,0.36,25,0.52,2.36,-1.67,0.43,1.53
MASTEK_minute,0.36,22,0.45,2.79,-1.57,0.41,1.48
SUNPHARMA_minute,0.33,7,0.71,1.03,-2.91,-0.09,1.77
NTPC_minute,0.33,10,0.6,1.32,-1.29,0.28,2.06
GICRE_minute,0.33,42,0.5,2.21,-1.48,0.37,1.5
EIDPARRY_minute,0.33,31,0.48,2.3,-1.27,0.46,1.7
KEI_minute,0.32,14,0.57,1.35,-1.0,0.34,1.8
TATAPOWER_minute,0.32,15,0.53,1.52,-0.98,0.36,1.78
BAJAJ-AUTO_minute,0.31,12,0.5,1.24,-0.68,0.28,2.2
CANFINHOME_minute,0.31,18,0.61,1.37,-1.28,0.34,1.68
LATENTVIEW_minute,0.31,21,0.57,1.88,-1.71,0.34,1.46
DIXON_minute,0.31,21,0.52,1.7,-1.33,0.26,1.41
HEG_minute,0.29,31,0.48,2.15,-1.53,0.25,1.41
GLENMARK_minute,0.29,23,0.52,1.35,-0.88,0.28,1.67
BIOCON_minute,0.29,20,0.55,1.41,-0.96,0.34,1.8
CGPOWER_minute,0.27,15,0.33,2.32,-0.81,0.23,1.43
TRIVENI_minute,0.27,46,0.52,1.92,-1.5,0.28,1.39
INFY_minute,0.27,9,0.44,1.17,-0.54,0.22,2.18
HINDPETRO_minute,0.27,8,0.75,0.96,-2.0,0.22,1.44
HDFCAMC_minute,0.26,10,0.6,1.29,-1.3,0.25,1.49
SHREECEM_minute,0.26,22,0.59,0.89,-0.7,0.24,2.07
APARINDS_minute,0.26,22,0.45,2.17,-1.42,0.21,1.27
LAURUSLABS_minute,0.25,21,0.57,1.45,-1.25,0.29,1.54
JWL_minute,0.25,33,0.39,3.27,-1.95,0.11,1.09
CAMS_minute,0.24,31,0.52,2.13,-1.8,0.23,1.35
SYNGENE_minute,0.24,18,0.67,1.14,-1.74,0.18,1.57
QUESS_minute,0.23,28,0.43,2.5,-1.4,0.27,1.33
BEL_minute,0.23,18,0.56,1.64,-1.51,0.24,1.36
GODREJCP_minute,0.23,20,0.5,1.48,-1.17,0.16,1.41
JIOFIN_minute,0.23,25,0.4,1.92,-0.89,0.23,1.43
UNITDSPR_minute,0.22,19,0.42,1.74,-1.0,0.15,1.27
MANKIND_minute,0.21,19,0.37,2.09,-0.77,0.28,1.58
ENDURANCE_minute,0.21,21,0.67,1.07,-1.52,0.21,1.4
ASTERDM_minute,0.21,17,0.65,1.53,-2.1,0.25,1.34
ELGIEQUIP_minute,0.21,37,0.49,1.96,-1.45,0.21,1.29
MARICO_minute,0.21,17,0.53,1.16,-1.07,0.11,1.38
AREM_minute,0.2,23,0.52,1.64,-1.47,0.16,1.22
LT_minute,0.2,2,0.5,0.4,0.0,0.2,inf
CRISIL_minute,0.2,25,0.44,1.8,-1.05,0.2,1.45
TRITURBINE_minute,0.2,34,0.41,3.06,-1.72,0.25,1.25
ASTRAL_minute,0.2,9,0.56,1.29,-1.14,0.21,1.42
TRENT_minute,0.19,10,0.5,1.75,-1.37,0.19,1.27
RADICO_minute,0.18,17,0.41,3.07,-1.94,0.12,1.11
MPHASIS_minute,0.18,14,0.64,1.02,-1.37,0.16,1.33
POLYCAB_minute,0.18,15,0.53,1.39,-1.4,0.09,1.13
UJJIVANSFB_minute,0.17,19,0.63,1.41,-1.59,0.3,1.52
INDUSINDBK_minute,0.17,2,0.5,0.29,0.0,0.14,inf
SRF_minute,0.17,9,0.67,1.02,-1.54,0.16,1.32
LODHA_minute,0.16,34,0.44,2.68,-1.93,0.11,1.16
BRITANNIA_minute,0.16,12,0.58,1.0,-1.07,0.14,1.3
DRREDDY_minute,0.16,17,0.53,1.03,-0.82,0.16,1.42
GODFRYPHLP_minute,0.16,40,0.5,2.69,-2.02,0.34,1.33
NLCINDIA_minute,0.16,43,0.44,2.16,-1.47,0.13,1.27
CHALET_minute,0.16,34,0.47,2.36,-1.71,0.2,1.23
BAJAJFINSV_minute,0.16,9,0.67,0.87,-1.13,0.21,1.55
HINDCOPPER_minute,0.15,26,0.5,1.96,-1.69,0.13,1.16
DABUR_minute,0.15,7,0.71,0.66,-1.11,0.16,1.49
JYOTICNC_minute,0.15,27,0.37,3.41,-1.93,0.05,1.04
GLAXO_minute,0.15,19,0.37,2.98,-1.35,0.25,1.29
TATAINVEST_minute,0.15,19,0.21,5.2,-1.2,0.15,1.24
CROMPTON_minute,0.15,15,0.73,0.66,-1.39,0.12,1.31
ASHOKLEY_minute,0.15,9,0.44,1.68,-0.99,0.2,1.36
UTIAMC_minute,0.15,30,0.5,1.86,-1.61,0.13,1.16
PPLPHARMA_minute,0.14,31,0.42,2.15,-1.29,0.15,1.27
AFFLE_minute,0.14,33,0.45,2.22,-1.44,0.22,1.28
MFSL_minute,0.13,11,0.36,2.22,-1.05,0.14,1.21
CENTURYPLY_minute,0.13,34,0.47,1.68,-1.27,0.11,1.17
MANYAVAR_minute,0.12,26,0.5,1.57,-1.51,0.03,1.04
BEML_minute,0.12,43,0.42,2.31,-1.41,0.15,1.18
SONATSOFTW_minute,0.12,36,0.47,1.93,-1.54,0.1,1.12
FSL_minute,0.12,37,0.49,1.92,-1.75,0.04,1.1
GRASIM_minute,0.11,14,0.5,1.42,-1.2,0.11,1.19
MOTHERSON_minute,0.11,11,0.27,3.67,-1.04,0.24,1.51
AMBUJACEM_minute,0.1,16,0.62,0.79,-0.99,0.12,1.34
BANKINDIA_minute,0.1,10,0.4,1.63,-0.82,0.16,1.33
SAREGAMA_minute,0.09,27,0.41,2.12,-1.31,0.09,1.11
USHAMART_minute,0.09,45,0.44,1.78,-1.31,0.06,1.13
ROUTE_minute,0.09,32,0.47,1.6,-1.09,0.18,1.3
BALAMINES_minute,0.08,17,0.29,3.6,-1.31,0.14,1.15
SANOFI_minute,0.08,31,0.55,0.92,-0.95,0.08,1.18
CREDITACC_minute,0.08,26,0.42,1.93,-0.96,0.26,1.48
BALRAMCHIN_minute,0.08,23,0.57,1.16,-1.07,0.19,1.41
RRKABEL_minute,0.07,21,0.48,1.24,-1.01,0.06,1.12
RENUKA_minute,0.06,42,0.45,2.19,-1.69,0.07,1.12
ZYDUSLIFE_minute,0.06,20,0.55,1.06,-1.22,0.03,1.2
NCC_minute,0.06,46,0.43,1.94,-1.39,0.06,1.08
SONACOMS_minute,0.06,26,0.42,2.44,-1.68,0.06,1.07
GPIL_minute,0.06,25,0.44,2.11,-1.55,0.06,1.07
RELIANCE_minute,0.06,3,0.67,0.18,-0.2,0.05,1.71
NIACL_minute,0.06,42,0.45,2.75,-2.08,0.1,1.09
METROPOLIS_minute,0.05,31,0.52,1.51,-1.59,0.01,1.08
AIAENG_minute,0.05,15,0.4,1.53,-1.0,0.01,1.02
KFINTECH_minute,0.05,23,0.52,2.07,-2.17,0.04,1.15
KAJARIACER_minute,0.05,16,0.5,1.97,-2.11,-0.07,1.07
KEC_minute,0.05,39,0.56,1.37,-1.77,0.0,1.01
JMFINANCIL_minute,0.05,54,0.54,1.63,-2.02,-0.06,0.98
ALKYLAMINE_minute,0.05,19,0.47,1.46,-1.24,0.04,1.06
BLUEDART_minute,0.05,28,0.43,1.83,-1.27,0.06,1.08
