stock,profitPct,totalTrades,winRate,avgWinpct,avgLosspct,expentancypct,profitFactor
DRREDDY_minute,0.41,49,0.61,1.2,-0.87,0.4,2.3
TRITURBINE_minute,0.41,67,0.48,3.13,-1.94,0.48,1.48
HFCL_minute,0.41,67,0.36,4.57,-1.84,0.45,1.45
GRASIM_minute,0.41,40,0.6,1.49,-1.15,0.43,1.93
KIRLOSBROS_minute,0.4,60,0.48,3.96,-2.48,0.64,1.5
RELIANCE_minute,0.4,26,0.65,1.28,-1.2,0.42,2.01
GAEL_minute,0.4,65,0.54,2.07,-1.69,0.33,1.53
KALYANKJIL_minute,0.39,72,0.57,2.2,-1.8,0.48,1.67
DIXON_minute,0.39,56,0.52,1.93,-1.47,0.29,1.41
GODFRYPHLP_minute,0.39,66,0.52,3.36,-2.25,0.64,1.58
POLICYBZR_minute,0.39,48,0.46,3.22,-2.15,0.31,1.27
KEI_minute,0.38,43,0.58,1.67,-1.38,0.39,1.78
OIL_minute,0.37,75,0.6,2.08,-2.06,0.42,1.57
SJVN_minute,0.37,72,0.47,3.28,-2.1,0.44,1.4
FACT_minute,0.37,72,0.53,2.73,-2.2,0.4,1.39
HDFCLIFE_minute,0.36,17,0.59,1.12,-0.69,0.37,2.32
PIIND_minute,0.36,33,0.58,1.42,-0.96,0.41,2.0
NATIONALUM_minute,0.36,59,0.51,2.29,-1.5,0.43,1.58
POWERINDIA_minute,0.35,70,0.44,3.78,-2.24,0.42,1.37
OBEROIRLTY_minute,0.35,53,0.6,1.68,-1.5,0.42,1.71
GLENMARK_minute,0.33,50,0.5,1.77,-1.02,0.37,1.73
KIMS_minute,0.33,48,0.58,1.35,-1.24,0.27,1.53
TRENT_minute,0.33,51,0.51,2.02,-1.3,0.39,1.68
IFCI_minute,0.33,73,0.45,3.82,-2.18,0.53,1.48
DLF_minute,0.33,39,0.56,1.82,-1.61,0.33,1.47
BEL_minute,0.33,54,0.56,1.85,-1.42,0.4,1.63
BLUESTARCO_minute,0.33,58,0.5,2.9,-2.13,0.38,1.36
AVANTIFEED_minute,0.32,70,0.49,2.57,-1.87,0.29,1.33
DEEPAKFERT_minute,0.32,61,0.49,2.4,-2.01,0.16,1.16
SCI_minute,0.31,80,0.53,2.62,-1.99,0.43,1.46
AIAENG_minute,0.31,39,0.46,1.64,-0.89,0.28,1.59
BPCL_minute,0.31,56,0.5,2.04,-1.43,0.31,1.48
SAIL_minute,0.31,41,0.54,2.41,-2.16,0.29,1.36
CENTURYPLY_minute,0.31,44,0.52,1.66,-1.17,0.31,1.56
QUESS_minute,0.3,61,0.46,2.33,-1.54,0.24,1.32
SBILIFE_minute,0.3,34,0.56,1.24,-0.94,0.28,1.67
ANANTRAJ_minute,0.3,62,0.47,1.96,-1.57,0.08,1.1
JINDALSTEL_minute,0.29,44,0.57,1.56,-1.35,0.3,1.61
COROMANDEL_minute,0.29,44,0.55,1.55,-1.27,0.27,1.54
SANOFI_minute,0.28,53,0.57,1.31,-1.09,0.27,1.57
BSOFT_minute,0.28,47,0.57,1.94,-1.91,0.3,1.44
GODREJIND_minute,0.28,53,0.45,2.76,-1.75,0.29,1.35
SHREECEM_minute,0.28,36,0.61,0.93,-0.78,0.27,2.02
AXISBANK_minute,0.27,30,0.43,1.61,-0.74,0.28,1.66
ZYDUSLIFE_minute,0.27,50,0.58,1.15,-1.04,0.23,1.61
TATAELXSI_minute,0.27,57,0.42,2.07,-1.06,0.26,1.46
LUPIN_minute,0.27,50,0.58,1.26,-1.26,0.21,1.46
HDFCBANK_minute,0.26,21,0.57,1.08,-0.92,0.22,1.76
NTPC_minute,0.26,39,0.54,1.41,-1.09,0.26,1.6
LALPATHLAB_minute,0.26,37,0.62,1.19,-1.37,0.22,1.42
NAUKRI_minute,0.26,41,0.59,1.42,-1.53,0.19,1.31
LAURUSLABS_minute,0.26,45,0.53,1.69,-1.38,0.26,1.4
GAIL_minute,0.25,38,0.58,1.58,-1.48,0.29,1.47
UNOMINDA_minute,0.25,60,0.43,2.7,-1.46,0.34,1.41
SONATSOFTW_minute,0.24,61,0.49,2.36,-1.81,0.24,1.27
IRFC_minute,0.24,90,0.39,3.08,-1.48,0.3,1.38
HINDZINC_minute,0.23,53,0.38,2.62,-1.21,0.23,1.35
CROMPTON_minute,0.22,36,0.58,1.08,-1.1,0.17,1.47
HAL_minute,0.22,41,0.51,1.6,-1.22,0.22,1.38
NEWGEN_minute,0.22,73,0.53,2.59,-2.21,0.36,1.39
AFFLE_minute,0.22,56,0.46,2.26,-1.48,0.26,1.33
NAM-INDIA_minute,0.22,40,0.42,3.32,-1.81,0.37,1.42
JKTYRE_minute,0.22,71,0.54,1.81,-1.6,0.22,1.34
BHEL_minute,0.22,52,0.54,2.04,-1.99,0.18,1.25
MAZDOCK_minute,0.21,85,0.48,2.32,-1.79,0.19,1.2
COALINDIA_minute,0.21,36,0.47,1.84,-1.29,0.19,1.35
VEDL_minute,0.2,46,0.43,2.56,-1.55,0.23,1.27
PIDILITIND_minute,0.2,45,0.62,0.98,-1.15,0.18,1.5
MPHASIS_minute,0.2,34,0.59,1.21,-1.24,0.2,1.39
BBTC_minute,0.2,44,0.55,2.3,-2.3,0.21,1.2
NLCINDIA_minute,0.2,69,0.51,2.26,-1.87,0.23,1.33
INDHOTEL_minute,0.2,36,0.53,2.04,-2.13,0.07,1.14
GICRE_minute,0.19,85,0.54,2.77,-2.73,0.25,1.2
ALKYLAMINE_minute,0.19,44,0.48,1.43,-0.97,0.17,1.4
MARICO_minute,0.19,43,0.56,1.08,-1.03,0.15,1.4
AREM_minute,0.18,49,0.51,1.74,-1.47,0.16,1.23
ICICIBANK_minute,0.17,23,0.57,1.21,-1.17,0.18,1.49
CIPLA_minute,0.17,29,0.52,1.21,-1.03,0.13,1.26
EICHERMOT_minute,0.17,35,0.6,1.31,-1.47,0.2,1.33
NAVINFLUOR_minute,0.17,34,0.74,0.76,-1.36,0.2,1.56
CHAMBLFERT_minute,0.17,51,0.55,2.17,-2.2,0.2,1.2
DABUR_minute,0.17,29,0.52,1.16,-0.82,0.21,1.52
ULTRACEMCO_minute,0.17,25,0.56,1.2,-1.24,0.12,1.35
GODREJPROP_minute,0.16,51,0.49,2.13,-1.63,0.21,1.25
VIJAYA_minute,0.16,63,0.44,2.07,-1.27,0.22,1.35
PRAJIND_minute,0.16,66,0.39,3.01,-1.58,0.23,1.27
UNITDSPR_minute,0.16,42,0.52,1.08,-0.98,0.1,1.21
BHARTIHEXA_minute,0.16,34,0.38,3.64,-1.79,0.28,1.26
SUPREMEIND_minute,0.16,45,0.58,1.55,-1.79,0.14,1.25
LATENTVIEW_minute,0.16,43,0.49,1.9,-1.45,0.18,1.25
APOLLOHOSP_minute,0.16,34,0.53,0.98,-0.78,0.15,1.5
INDUSINDBK_minute,0.15,20,0.45,1.13,-0.8,0.07,1.27
CREDITACC_minute,0.15,45,0.42,2.5,-1.28,0.31,1.42
KFINTECH_minute,0.15,50,0.54,2.14,-2.47,0.02,1.07
GRAPHITE_minute,0.15,72,0.43,2.15,-1.33,0.17,1.28
CUMMINSIND_minute,0.15,34,0.62,1.31,-1.77,0.13,1.19
RRKABEL_minute,0.15,32,0.5,1.63,-1.38,0.13,1.18
LTF_minute,0.15,45,0.49,1.65,-1.23,0.18,1.28
NBCC_minute,0.15,68,0.38,3.28,-1.75,0.17,1.19
JSWSTEEL_minute,0.15,46,0.52,1.33,-1.15,0.15,1.33
FEDERALBNK_minute,0.14,27,0.52,1.42,-1.31,0.11,1.17
IPCALAB_minute,0.14,38,0.47,1.69,-1.33,0.1,1.2
BLUEDART_minute,0.14,45,0.47,1.78,-1.26,0.16,1.24
BIOCON_minute,0.14,45,0.56,1.68,-1.63,0.21,1.29
KARURVYSYA_minute,0.14,42,0.5,1.39,-1.08,0.16,1.29
CRISIL_minute,0.14,46,0.41,1.88,-1.08,0.14,1.27
JUSTDIAL_minute,0.13,53,0.47,2.45,-1.77,0.22,1.24
AMBUJACEM_minute,0.13,41,0.56,1.1,-1.07,0.14,1.31
SUZLON_minute,0.13,33,0.39,2.41,-1.46,0.07,1.13
MASTEK_minute,0.13,50,0.46,1.95,-1.35,0.17,1.23
CAMS_minute,0.12,69,0.51,2.16,-2.08,0.07,1.1
GODREJCP_minute,0.12,43,0.44,1.54,-1.04,0.1,1.23
AUROPHARMA_minute,0.12,48,0.46,1.43,-1.0,0.12,1.21
INDUSTOWER_minute,0.12,46,0.43,1.65,-1.01,0.15,1.26
SRF_minute,0.12,26,0.62,1.09,-1.39,0.14,1.26
RVNL_minute,0.12,107,0.47,2.4,-2.05,0.03,1.07
SYRMA_minute,0.11,47,0.49,2.67,-2.13,0.22,1.2
FORTIS_minute,0.11,41,0.46,1.99,-1.45,0.14,1.18
ALKEM_minute,0.11,43,0.56,1.11,-1.18,0.1,1.26
MSUMI_minute,0.11,35,0.43,1.83,-1.25,0.07,1.15
LODHA_minute,0.1,74,0.53,2.07,-2.19,0.06,1.08
KAJARIACER_minute,0.1,32,0.41,2.39,-1.59,0.03,1.09
HONAUT_minute,0.1,36,0.5,1.03,-0.9,0.06,1.14
MANKIND_minute,0.1,49,0.37,2.17,-1.01,0.16,1.24
SUMICHEM_minute,0.09,46,0.43,2.38,-1.67,0.09,1.14
JYOTICNC_minute,0.09,46,0.46,3.18,-2.41,0.14,1.11
IRCON_minute,0.09,100,0.48,2.27,-1.81,0.15,1.2
JIOFIN_minute,0.09,46,0.5,1.75,-1.49,0.13,1.17
CESC_minute,0.09,64,0.47,1.98,-1.49,0.14,1.17
NCC_minute,0.09,84,0.45,2.28,-1.62,0.14,1.16
PFIZER_minute,0.09,33,0.48,1.14,-0.87,0.1,1.23
CHOLAFIN_minute,0.08,41,0.49,1.54,-1.31,0.08,1.12
HOMEFIRST_minute,0.08,55,0.49,2.18,-1.88,0.11,1.12
JSWENERGY_minute,0.08,65,0.49,2.11,-1.82,0.11,1.16
MMTC_minute,0.08,58,0.45,2.49,-1.78,0.14,1.17
REDINGTON_minute,0.07,60,0.42,2.22,-1.41,0.1,1.13
TORNTPHARM_minute,0.07,59,0.44,1.19,-0.83,0.06,1.13
ERIS_minute,0.07,46,0.5,1.56,-1.27,0.14,1.23
MOTHERSON_minute,0.07,39,0.49,2.0,-1.82,0.04,1.1
ASHOKLEY_minute,0.07,31,0.55,1.14,-1.14,0.11,1.21
CAMPUS_minute,0.07,66,0.5,1.49,-1.35,0.07,1.13
NETWEB_minute,0.07,50,0.46,2.72,-2.1,0.12,1.1
WHIRLPOOL_minute,0.06,65,0.52,1.85,-1.8,0.11,1.17
BAJAJHLDNG_minute,0.06,60,0.57,1.2,-1.43,0.06,1.09
OLECTRA_minute,0.06,93,0.45,2.02,-1.5,0.09,1.13
SAREGAMA_minute,0.06,62,0.53,1.75,-1.86,0.06,1.07
BIRLACORPN_minute,0.06,38,0.45,1.26,-0.91,0.06,1.12
BAJAJ-AUTO_minute,0.06,40,0.53,0.94,-0.93,0.05,1.18
USHAMART_minute,0.05,67,0.49,1.82,-1.68,0.04,1.08
TIMKEN_minute,0.05,42,0.4,1.97,-1.31,0.02,1.02
BRIGADE_minute,0.05,49,0.49,2.31,-2.17,0.03,1.07
CHALET_minute,0.05,55,0.4,2.32,-1.41,0.08,1.1
HEROMOTOCO_minute,0.05,37,0.51,1.34,-1.28,0.06,1.1
SBICARD_minute,0.05,34,0.47,1.25,-1.03,0.04,1.14
DALBHARAT_minute,0.04,28,0.5,1.03,-0.92,0.06,1.13
SONACOMS_minute,0.04,63,0.51,1.54,-1.51,0.04,1.05
IOC_minute,0.04,45,0.51,1.69,-1.61,0.08,1.1
LEMONTREE_minute,0.04,74,0.49,1.7,-1.45,0.08,1.11
STARHEALTH_minute,0.04,37,0.46,1.4,-1.11,0.05,1.13
OFSS_minute,0.03,45,0.42,2.36,-1.56,0.09,1.1
ESCORTS_minute,0.03,43,0.47,1.32,-1.08,0.04,1.12
JPPOWER_minute,0.03,50,0.5,2.37,-2.29,0.04,1.08
SHYAMMETL_minute,0.03,48,0.5,2.04,-2.01,0.01,1.06
PVRINOX_minute,0.03,43,0.56,1.11,-1.3,0.04,1.08
VBL_minute,0.03,55,0.49,1.64,-1.51,0.04,1.09
SCHAEFFLER_minute,0.02,34,0.41,2.28,-1.6,-0.01,1.05
ITC_minute,0.02,32,0.47,0.75,-0.65,0.01,1.09
ASTERDM_minute,0.02,42,0.55,1.4,-1.63,0.03,1.04
RKFORGE_minute,0.02,46,0.5,1.57,-1.46,0.06,1.08
UJJIVANSFB_minute,0.02,47,0.55,1.14,-1.25,0.07,1.12
HAVELLS_minute,0.02,48,0.54,1.21,-1.34,0.04,1.07
ZEEL_minute,0.02,73,0.52,2.2,-2.17,0.11,1.1
BOSCHLTD_minute,0.01,61,0.52,1.13,-1.21,0.02,1.07
MAHLIFE_minute,0.01,36,0.5,1.26,-1.39,-0.07,0.96
EASEMYTRIP_minute,0.01,44,0.43,2.35,-1.83,-0.03,0.97
FINPIPE_minute,0.01,52,0.46,1.73,-1.36,0.06,1.09
JSWINFRA_minute,0.01,54,0.5,1.7,-1.71,-0.0,1.0
IGL_minute,0.01,54,0.43,2.15,-1.66,-0.04,1.03
BHARATFORG_minute,0.01,36,0.5,1.75,-1.95,-0.1,0.95
CONCORDBIO_minute,0.01,70,0.46,2.22,-1.91,-0.02,1.01
TATAPOWER_minute,0.01,57,0.56,1.17,-1.42,0.03,1.05
JINDALSAW_minute,0.01,67,0.54,2.27,-2.39,0.11,1.1
INFY_minute,-0.0,35,0.43,1.26,-0.99,-0.03,1.0
HDFCAMC_minute,0.0,32,0.53,1.43,-1.55,0.03,1.05
DELHIVERY_minute,-0.0,46,0.37,2.07,-1.17,0.03,1.04
ALOKINDS_minute,-0.0,48,0.46,1.84,-1.41,0.08,1.1
BIKAJI_minute,-0.0,42,0.55,1.39,-1.73,-0.02,0.97
IIFL_minute,0.0,66,0.42,2.88,-2.11,0.01,1.0
CDSL_minute,0.0,90,0.44,1.97,-1.58,-0.01,1.01
GNFC_minute,-0.0,41,0.54,1.22,-1.41,0.0,1.0
PAGEIND_minute,0.0,36,0.47,1.31,-1.13,0.02,1.03
MANAPPURAM_minute,-0.01,50,0.52,1.68,-1.84,-0.01,0.99
GLAXO_minute,-0.01,47,0.53,1.73,-1.83,0.06,1.07
RECLTD_minute,-0.01,38,0.47,1.98,-1.63,0.08,1.15
ZFCVINDIA_minute,-0.01,41,0.56,1.57,-1.99,0.01,1.01
IEX_minute,-0.01,43,0.47,1.74,-1.68,-0.09,0.9
ELECON_minute,-0.01,50,0.48,2.14,-1.97,-0.0,1.0
ASTRAL_minute,-0.02,30,0.47,1.24,-1.08,-0.0,1.0
INOXINDIA_minute,-0.02,50,0.44,2.39,-1.73,0.08,1.09
LICHSGFIN_minute,-0.02,38,0.55,0.9,-1.11,0.0,1.0
JMFINANCIL_minute,-0.03,77,0.53,1.83,-2.18,-0.05,0.98
NATCOPHARM_minute,-0.03,59,0.47,1.49,-1.46,-0.06,0.95
BALRAMCHIN_minute,-0.03,44,0.57,1.26,-1.5,0.07,1.1
BALAMINES_minute,-0.03,42,0.31,3.08,-1.36,0.02,1.02
TRIVENI_minute,-0.03,77,0.43,2.04,-1.56,-0.02,0.98
FLUOROCHEM_minute,-0.03,28,0.46,1.91,-1.63,0.01,1.01
INDIGO_minute,-0.04,35,0.43,1.51,-1.28,-0.09,0.93
SWSOLAR_minute,-0.04,37,0.38,2.94,-2.04,-0.16,0.88
AEGISLOG_minute,-0.05,66,0.47,2.78,-2.55,-0.05,0.99
MMFIN_minute,-0.05,43,0.53,1.47,-1.74,-0.03,0.97
HCLTECH_minute,-0.05,39,0.41,1.33,-0.98,-0.03,0.99
TATATECH_minute,-0.05,41,0.39,1.9,-1.29,-0.05,0.98
METROPOLIS_minute,-0.05,61,0.51,1.49,-1.75,-0.1,0.91
TBOTEK_minute,-0.05,31,0.48,2.55,-2.41,-0.01,0.99
TATAMOTORS_minute,-0.05,41,0.46,1.25,-1.11,-0.01,0.98
BAYERCROP_minute,-0.06,33,0.36,2.46,-1.45,-0.02,0.97
METROBRAND_minute,-0.06,30,0.43,2.29,-1.69,0.04,1.04
KNRCON_minute,-0.06,62,0.44,1.75,-1.46,-0.06,0.95
MINDACORP_minute,-0.06,56,0.52,1.63,-1.75,0.0,1.01
MAXHEALTH_minute,-0.06,58,0.41,2.41,-1.84,-0.08,0.92
APARINDS_minute,-0.06,45,0.49,2.38,-2.23,0.02,1.02
TCS_minute,-0.07,30,0.5,0.79,-0.92,-0.06,0.86
FINCABLES_minute,-0.07,48,0.4,2.67,-1.75,0.0,1.0
IREDA_minute,-0.07,68,0.41,2.63,-1.89,-0.03,0.97
SKFINDIA_minute,-0.07,39,0.46,1.35,-1.24,-0.04,0.93
BERGEPAINT_minute,-0.07,49,0.51,1.42,-1.58,-0.05,0.93
APLLTD_minute,-0.08,66,0.5,1.8,-1.9,-0.05,0.98
RAMCOCEM_minute,-0.08,36,0.56,1.16,-1.66,-0.09,0.93
TATAINVEST_minute,-0.08,47,0.36,2.11,-1.34,-0.09,0.92
CRAFTSMAN_minute,-0.08,45,0.51,1.32,-1.5,-0.06,0.92
THERMAX_minute,-0.08,70,0.5,1.58,-1.69,-0.06,0.96
GPPL_minute,-0.09,84,0.48,1.73,-1.73,-0.08,0.93
CLEAN_minute,-0.09,30,0.47,1.59,-1.55,-0.09,0.9
EXIDEIND_minute,-0.09,51,0.45,1.52,-1.48,-0.13,0.85
FINEORG_minute,-0.1,54,0.39,2.19,-1.52,-0.08,0.92
MANYAVAR_minute,-0.1,44,0.45,1.35,-1.37,-0.13,0.82
GSPL_minute,-0.1,38,0.42,1.63,-1.45,-0.15,0.9
IDFCFIRSTB_minute,-0.1,33,0.52,1.26,-1.47,-0.06,0.91
TATACHEM_minute,-0.1,35,0.51,1.43,-1.63,-0.06,0.93
HUDCO_minute,-0.1,76,0.42,2.73,-2.11,-0.07,0.94
AMBER_minute,-0.11,47,0.32,1.88,-1.19,-0.21,0.77
DEVYANI_minute,-0.11,46,0.46,1.8,-1.72,-0.12,0.88
LICI_minute,-0.11,69,0.45,1.66,-1.56,-0.11,0.92
MRF_minute,-0.11,41,0.44,0.67,-0.78,-0.14,0.73
CASTROLIND_minute,-0.11,72,0.4,2.47,-1.8,-0.08,0.97
TVSMOTOR_minute,-0.11,44,0.57,1.13,-1.72,-0.1,0.87
SIGNATURE_minute,-0.11,22,0.41,1.24,-1.03,-0.1,0.83
BRITANNIA_minute,-0.12,35,0.49,0.78,-0.99,-0.13,0.74
JUBLPHARMA_minute,-0.12,55,0.45,2.11,-1.95,-0.1,0.9
ITI_minute,-0.12,76,0.45,2.88,-2.35,-0.01,1.0
SOLARINDS_minute,-0.12,76,0.5,2.17,-2.38,-0.1,0.94
RENUKA_minute,-0.12,77,0.45,2.15,-1.92,-0.07,0.95
ASAHIINDIA_minute,-0.12,61,0.48,1.68,-1.63,-0.05,0.94
HINDALCO_minute,-0.13,45,0.44,1.37,-1.41,-0.17,0.85
WESTLIFE_minute,-0.13,60,0.48,1.64,-1.75,-0.11,0.88
EIDPARRY_minute,-0.13,60,0.47,1.83,-1.64,-0.02,0.98
SAPPHIRE_minute,-0.13,46,0.46,1.68,-1.65,-0.13,0.89
SUNTV_minute,-0.13,52,0.44,1.3,-1.29,-0.15,0.83
WIPRO_minute,-0.13,43,0.44,1.14,-1.16,-0.15,0.81
MARUTI_minute,-0.13,23,0.35,1.02,-0.84,-0.19,0.69
MUTHOOTFIN_minute,-0.13,41,0.49,1.25,-1.4,-0.11,0.85
TEJASNET_minute,-0.13,62,0.32,3.23,-1.62,-0.06,0.95
WELSPUNLIV_minute,-0.13,62,0.5,1.96,-2.07,-0.05,0.95
SUNPHARMA_minute,-0.14,29,0.52,1.13,-1.59,-0.18,0.82
MAHABANK_minute,-0.14,64,0.42,1.99,-1.73,-0.16,0.84
BAJAJFINSV_minute,-0.14,29,0.48,1.04,-1.19,-0.12,0.81
APTUS_minute,-0.15,40,0.47,1.83,-1.92,-0.14,0.86
POLYCAB_minute,-0.15,45,0.4,1.6,-1.27,-0.12,0.84
UBL_minute,-0.16,41,0.49,1.04,-1.32,-0.17,0.79
BEML_minute,-0.16,90,0.49,2.14,-2.16,-0.06,0.95
PNBHOUSING_minute,-0.16,69,0.43,2.72,-2.16,-0.03,0.97
TATASTEEL_minute,-0.16,43,0.44,1.35,-1.39,-0.18,0.8
SIEMENS_minute,-0.17,44,0.45,1.7,-1.67,-0.14,0.89
CERA_minute,-0.17,47,0.45,1.72,-1.62,-0.13,0.86
ADANIPORTS_minute,-0.17,37,0.43,1.05,-1.12,-0.18,0.75
KPIL_minute,-0.18,52,0.46,2.18,-2.04,-0.09,0.95
MCX_minute,-0.18,42,0.48,1.74,-2.0,-0.22,0.79
APOLLOTYRE_minute,-0.18,46,0.46,1.31,-1.46,-0.2,0.78
PHOENIXLTD_minute,-0.18,66,0.47,2.35,-2.34,-0.14,0.89
PPLPHARMA_minute,-0.18,63,0.51,2.28,-2.43,-0.04,1.0
LTIM_minute,-0.19,29,0.41,1.31,-1.23,-0.17,0.76
GRINFRA_minute,-0.19,52,0.46,1.49,-1.55,-0.15,0.85
TVSSCS_minute,-0.2,50,0.4,1.92,-1.61,-0.2,0.79
INDIACEM_minute,-0.2,47,0.36,2.09,-1.5,-0.2,0.82
PGHH_minute,-0.2,41,0.34,1.1,-0.94,-0.24,0.66
RADICO_minute,-0.21,42,0.43,1.89,-1.81,-0.22,0.78
CENTRALBK_minute,-0.21,68,0.41,1.95,-1.79,-0.25,0.85
DIVISLAB_minute,-0.21,31,0.35,1.03,-0.9,-0.21,0.63
UCOBANK_minute,-0.22,75,0.37,2.6,-1.9,-0.22,0.85
RITES_minute,-0.22,86,0.44,2.28,-2.13,-0.18,0.85
CUB_minute,-0.22,33,0.39,1.52,-1.41,-0.25,0.74
BDL_minute,-0.22,66,0.44,2.35,-2.38,-0.3,0.79
IDBI_minute,-0.22,65,0.46,1.71,-1.79,-0.18,0.82
TRIDENT_minute,-0.22,62,0.44,1.28,-1.34,-0.2,0.76
NH_minute,-0.23,48,0.42,1.32,-1.33,-0.22,0.71
EIHOTEL_minute,-0.23,63,0.41,2.26,-1.91,-0.19,0.83
NIACL_minute,-0.23,70,0.47,2.63,-2.63,-0.15,0.89
ZENSARTECH_minute,-0.23,68,0.43,1.81,-1.7,-0.21,0.79
ATGL_minute,-0.24,53,0.36,2.63,-1.78,-0.2,0.85
