,Symbol,Max Drawdown,Hit Rate,Holding Shares,Short Shares,Max Holding,Max Short,Out of Capital,Short Orders,Long Orders,Initial Capital,Current Capital,Holding Capital,Total Equity,Profit,Profit Percentage
0,RELIANCE,87.62,30.67,46.0,0.0,63.0,7.0,59.0,70.0,98.0,100000.0,27993.6,55954.4,83948.0,-16052.0,-16.05
1,HDFCBANK,86.26,58.57,55.0,0.0,57.0,5.0,129.0,39.0,54.0,100000.0,15967.7,97460.0,113427.7,13427.7,13.43
2,BHARTIARTL,87.69,66.67,64.0,0.0,80.0,9.0,94.0,58.0,69.0,100000.0,24229.9,101977.6,126207.5,26207.5,26.21
3,TCS,68.31,64.91,0.0,0.0,17.0,1.0,177.0,18.0,39.0,100000.0,104850.91,0.0,104850.91,4850.91,4.85
4,ICICIBANK,87.39,73.5,77.0,0.0,90.0,9.0,80.0,64.0,78.0,100000.0,12473.4,98829.5,111302.9,11302.9,11.3
5,SBIN,92.1,43.11,72.0,0.0,141.0,15.0,30.0,85.0,91.0,100000.0,54148.22,57312.0,111460.22,11460.22,11.46
6,INFY,84.98,48.3,48.0,0.0,53.0,6.0,68.0,88.0,81.0,100000.0,17031.51,90511.2,107542.71,7542.71,7.54
7,HINDUNILVR,82.54,50.0,32.0,0.0,32.0,3.0,76.0,67.0,80.0,100000.0,22450.97,74464.0,96914.97,-3085.03,-3.09
8,ITC,96.58,54.05,236.0,0.0,253.0,24.0,82.0,62.0,74.0,100000.0,9749.6,98884.0,108633.6,8633.6,8.63
9,KOTAKBANK,84.34,34.55,45.0,0.0,45.0,5.0,74.0,54.0,77.0,100000.0,16416.47,80325.0,96741.47,-3258.53,-3.26
10,LT,69.57,41.9,2.0,0.0,19.0,2.0,98.0,43.0,63.0,100000.0,87981.33,7219.9,95201.23,-4798.77,-4.8
11,AXISBANK,91.75,30.89,16.0,0.0,81.0,9.0,13.0,88.0,108.0,100000.0,66371.4,17088.0,83459.4,-16540.6,-16.54
12,BAJFINANCE,87.89,28.64,109.0,0.0,121.0,13.0,0.0,109.0,108.0,100000.0,17252.3,74501.5,91753.8,-8246.2,-8.25
13,MARUTI,10.04,100.0,0.0,0.0,1.0,0.0,213.0,0.0,1.0,100000.0,101815.56,0.0,101815.56,1815.55,1.82
14,NTPC,89.55,44.39,106.0,0.0,278.0,32.0,15.0,96.0,105.0,100000.0,66651.13,35276.8,101927.93,1927.93,1.93
15,TATASTEEL,94.55,30.59,242.0,0.0,709.0,75.0,0.0,90.0,138.0,100000.0,57256.55,32657.9,89914.45,-10085.55,-10.09
16,ULTRACEMCO,10.47,50.0,0.0,0.0,1.0,0.0,217.0,0.0,2.0,100000.0,100707.55,0.0,100707.55,707.55,0.71
17,SUNPHARMA,78.29,67.31,45.0,0.0,63.0,7.0,114.0,59.0,57.0,100000.0,41199.1,85050.0,126249.1,26249.1,26.25
18,WIPRO,92.66,40.76,376.0,0.0,381.0,44.0,34.0,90.0,108.0,100000.0,2596.08,111333.6,113929.68,13929.68,13.93
19,HCLTECH,81.15,26.44,58.0,0.0,58.0,6.0,123.0,52.0,57.0,100000.0,15041.48,111638.4,126679.88,26679.88,26.68
20,ABFRL,86.59,36.08,177.0,0.0,497.0,50.0,0.0,86.0,115.0,100000.0,52909.55,37524.0,90433.55,-9566.45,-9.57
21,VOLTAS,86.93,58.44,52.0,0.0,85.0,8.0,43.0,92.0,76.0,100000.0,44297.01,93251.6,137548.61,37548.61,37.55
22,CHOLAFIN,83.25,40.8,19.0,0.0,62.0,8.0,15.0,80.0,97.0,100000.0,67546.17,22568.2,90114.37,-9885.63,-9.89
23,CROMPTON,83.86,38.15,216.0,0.0,260.0,29.0,0.0,94.0,98.0,100000.0,17694.72,85384.8,103079.52,3079.52,3.08
24,DEEPAKNTR,74.5,41.71,9.0,0.0,32.0,4.0,3.0,105.0,89.0,100000.0,71064.16,22500.0,93564.16,-6435.84,-6.44
25,GLENMARK,80.52,53.16,63.0,0.0,96.0,9.0,38.0,87.0,88.0,100000.0,28467.62,101549.7,130017.32,30017.32,30.02
26,JUBLFOOD,81.78,54.6,142.0,0.0,179.0,19.0,18.0,104.0,89.0,100000.0,18888.76,101672.0,120560.76,20560.76,20.56
27,MUTHOOTFIN,76.11,41.9,35.0,0.0,49.0,6.0,3.0,102.0,96.0,100000.0,18954.73,74900.0,93854.73,-6145.27,-6.15
28,PAGEIND,0.0,0.0,0.0,0.0,0.0,0.0,205.0,0.0,0.0,100000.0,100000.0,0.0,100000.0,0.0,0.0
29,PERSISTENT,59.95,48.98,11.0,0.0,17.0,2.0,107.0,54.0,53.0,100000.0,51310.79,71170.0,122480.79,22480.79,22.48
30,POLYCAB,54.77,44.87,8.0,0.0,12.0,2.0,129.0,37.0,49.0,100000.0,62716.89,58200.0,120916.89,20916.89,20.92
