,Symbol,Max Drawdown,Hit Rate,Holding Shares,Short Shares,Max Holding,Max Short,Out of Capital,Short Orders,Long Orders,Initial Capital,Current Capital,Holding Capital,Total Equity,Profit,Profit Percentage
0,RELIANCE,31.69,23.08,0.0,0.0,24.0,7.0,0.0,4.0,9.0,100000.0,96552.57,0.0,96552.57,-3447.43,-3.45
1,HDFCBANK,36.44,66.67,22.0,0.0,22.0,5.0,0.0,5.0,6.0,100000.0,63073.25,38984.0,102057.25,2057.25,2.06
2,BHARTIARTL,29.04,57.14,15.0,0.0,28.0,9.0,0.0,7.0,10.0,100000.0,79510.74,23901.0,103411.74,3411.74,3.41
3,TCS,29.84,31.82,1.0,0.0,7.0,2.0,0.0,11.0,12.0,100000.0,94868.63,4106.0,98974.63,-1025.37,-1.03
4,ICICIBANK,48.55,45.45,20.0,0.0,41.0,8.0,0.0,11.0,14.0,100000.0,74777.1,25670.0,100447.1,447.1,0.45
5,SBIN,27.37,28.57,12.0,0.0,33.0,12.0,0.0,8.0,7.0,100000.0,91900.8,9552.0,101452.8,1452.8,1.45
6,INFY,39.36,22.22,19.0,0.0,24.0,5.0,0.0,10.0,13.0,100000.0,64967.22,35827.35,100794.57,794.57,0.79
7,HINDUNILVR,40.54,32.0,15.0,0.0,17.0,3.0,0.0,12.0,18.0,100000.0,64030.52,34905.0,98935.52,-1064.48,-1.06
8,ITC,46.6,47.06,23.0,0.0,133.0,25.0,0.0,10.0,8.0,100000.0,93931.6,9637.0,103568.6,3568.6,3.57
9,KOTAKBANK,42.94,25.0,10.0,0.0,24.0,5.0,0.0,9.0,9.0,100000.0,81242.85,17850.0,99092.85,-907.15,-0.91
10,LT,14.74,33.33,4.0,0.0,6.0,2.0,0.0,3.0,5.0,100000.0,85332.94,14439.8,99772.74,-227.26,-0.23
11,AXISBANK,18.14,14.29,0.0,0.0,15.0,9.0,0.0,3.0,4.0,100000.0,98397.76,0.0,98397.76,-1602.24,-1.6
12,BAJFINANCE,25.77,33.33,37.0,0.0,37.0,15.0,0.0,3.0,6.0,100000.0,74490.9,25289.5,99780.4,-219.6,-0.22
13,MARUTI,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,100000.0,100000.0,0.0,100000.0,0.0,0.0
14,NTPC,35.09,33.33,53.0,0.0,85.0,32.0,0.0,7.0,10.0,100000.0,81379.63,17638.4,99018.03,-981.97,-0.98
15,TATASTEEL,21.1,23.08,64.0,0.0,133.0,77.0,0.0,7.0,7.0,100000.0,88766.32,8636.8,97403.12,-2596.88,-2.6
16,ULTRACEMCO,10.52,50.0,0.0,0.0,1.0,1.0,19.0,1.0,1.0,100000.0,100964.15,0.0,100964.15,964.15,0.96
17,SUNPHARMA,36.12,45.83,13.0,0.0,25.0,6.0,0.0,17.0,10.0,100000.0,75615.34,24570.0,100185.34,185.34,0.19
18,WIPRO,61.03,41.18,250.0,0.0,250.0,42.0,0.0,9.0,19.0,100000.0,32172.62,74025.0,106197.62,6197.62,6.2
19,HCLTECH,54.92,31.25,40.0,0.0,40.0,7.0,0.0,13.0,15.0,100000.0,33555.52,76992.0,110547.52,10547.52,10.55
20,ABFRL,36.02,26.92,0.0,0.0,134.0,60.0,0.0,12.0,14.0,100000.0,94236.12,0.0,94236.12,-5763.89,-5.76
21,VOLTAS,47.83,55.88,16.0,0.0,39.0,10.0,0.0,18.0,19.0,100000.0,81291.52,28692.8,109984.32,9984.32,9.98
22,CHOLAFIN,43.53,35.29,0.0,0.0,32.0,8.0,0.0,17.0,17.0,100000.0,96054.54,0.0,96054.54,-3945.46,-3.95
23,CROMPTON,47.54,37.04,120.0,0.0,130.0,32.0,0.0,14.0,19.0,100000.0,56504.07,47436.0,103940.07,3940.07,3.94
24,DEEPAKNTR,45.47,51.72,6.0,0.0,23.0,4.0,0.0,12.0,19.0,100000.0,83183.43,15000.0,98183.43,-1816.57,-1.82
25,GLENMARK,37.89,57.14,17.0,0.0,46.0,8.0,0.0,13.0,18.0,100000.0,80424.64,27402.3,107826.94,7826.94,7.83
26,JUBLFOOD,26.12,42.31,42.0,0.0,56.0,21.0,0.0,17.0,12.0,100000.0,74863.07,30072.0,104935.07,4935.07,4.94
27,MUTHOOTFIN,41.46,31.25,10.0,0.0,18.0,7.0,0.0,28.0,23.0,100000.0,71391.61,21400.0,92791.61,-7208.39,-7.21
28,PAGEIND,0.0,0.0,0.0,0.0,0.0,0.0,42.0,0.0,0.0,100000.0,100000.0,0.0,100000.0,0.0,0.0
29,PERSISTENT,27.96,41.67,6.0,0.0,6.0,2.0,0.0,16.0,13.0,100000.0,66190.25,38820.0,105010.25,5010.25,5.01
30,POLYCAB,32.53,72.41,4.0,0.0,5.0,2.0,1.0,18.0,15.0,100000.0,78155.27,29100.0,107255.27,7255.27,7.26
31,SRF,37.92,45.71,7.0,0.0,17.0,4.0,0.0,20.0,17.0,100000.0,80602.08,15585.5,96187.58,-3812.43,-3.81
32,TATAELXSI,38.12,24.44,1.0,0.0,5.0,1.0,24.0,24.0,22.0,100000.0,91121.71,6787.0,97908.71,-2091.29,-2.09
33,UBL,59.25,40.74,27.0,0.0,34.0,5.0,0.0,26.0,36.0,100000.0,47001.71,55080.0,102081.71,2081.71,2.08
34,ZYDUSLIFE,53.29,44.74,44.0,0.0,84.0,11.0,0.0,16.0,27.0,100000.0,69276.87,42724.0,112000.87,12000.87,12.0
35,AEGISLOG,44.66,47.62,24.0,0.0,109.0,24.0,0.0,29.0,36.0,100000.0,88939.78,19728.0,108667.78,8667.78,8.67
36,BALAMINES,48.25,29.58,0.0,0.0,21.0,4.0,0.0,52.0,19.0,100000.0,95199.97,0.0,95199.97,-4800.03,-4.8
37,CERA,31.64,43.18,1.0,0.0,4.0,1.0,30.0,25.0,20.0,100000.0,92572.24,7635.75,100207.99,207.99,0.21
38,DALBHARAT,52.42,28.12,3.0,0.0,26.0,5.0,0.0,15.0,18.0,100000.0,90078.45,5306.25,95384.7,-4615.3,-4.62
39,FINEORG,52.08,27.27,0.0,0.0,10.0,2.0,0.0,27.0,28.0,100000.0,97177.5,0.0,97177.5,-2822.49,-2.82
40,GRANULES,57.5,59.52,0.0,0.0,158.0,24.0,0.0,14.0,28.0,100000.0,126718.91,0.0,126718.91,26718.91,26.72
41,AJANTPHARM,39.42,40.43,8.0,0.0,18.0,4.0,0.0,19.0,31.0,100000.0,76347.79,23544.0,99891.79,-108.21,-0.11
42,INDIGO,30.18,59.26,4.0,0.0,11.0,2.0,0.0,12.0,17.0,100000.0,86598.5,18212.8,104811.3,4811.3,4.81
43,KEI,36.76,33.33,4.0,0.0,8.0,3.0,0.0,18.0,21.0,100000.0,80302.46,17719.6,98022.06,-1977.93,-1.98
44,LEMONTREE,48.73,26.53,177.0,0.0,337.0,79.0,0.0,25.0,27.0,100000.0,68377.2,27081.0,95458.2,-4541.8,-4.54
45,MAZDOCK,48.75,40.3,4.0,0.0,31.0,10.0,0.0,27.0,41.0,100000.0,95994.47,8903.6,104898.07,4898.07,4.9
46,RITES,64.43,16.88,49.0,0.0,188.0,40.0,0.0,31.0,49.0,100000.0,70182.17,14273.7,84455.87,-15544.13,-15.54
47,KPITTECH,52.1,19.05,16.0,0.0,26.0,6.0,0.0,16.0,29.0,100000.0,69719.3,23455.2,93174.5,-6825.5,-6.83
48,TEJASNET,35.58,21.05,0.0,0.0,34.0,11.0,0.0,17.0,21.0,100000.0,96895.92,0.0,96895.92,-3104.08,-3.1
49,HINDCOPPER,42.61,36.54,0.0,0.0,137.0,38.0,0.0,28.0,24.0,100000.0,96187.99,0.0,96187.99,-3812.01,-3.81
50,Mean,38.2,36.41,23.76,0.0,53.84,14.0,2.64,15.12,17.26,100000.0,81542.4,19319.67,100862.07,862.07,0.86
