,date,baselinemean,endmean,ma15endmean,baselinepct,endpct,stock
857,2024-09-20,20789.991666666665,53767.4,16674.733333333334,258.6215562856968,322.4483350058572,TCS
395,2024-09-20,117263.05833333333,324578.4,116751.28666666667,276.7951003608909,278.00841366887437,HDFCBANK
169,2024-09-27,89696.83333333333,248606.6,115044.50666666667,277.1631848764635,216.0960198823922,RELIANCE
400,2024-09-27,58529.61666666667,278375.6,130585.84000000001,475.614937964455,213.1744146225961,HDFCBANK
885,2024-10-31,9342.166666666666,48798.6,15577.56,522.3477779958255,313.26215402155407,TCS
1116,2024-10-31,108538.25833333333,294826.0,120721.11999999998,271.6332512859713,244.22072956248257,ICICIBANK
654,2024-10-31,16121.858333333334,71907.7,29085.773333333334,446.0261249866253,247.22636450443352,BHARTIARTL
898,2024-11-22,12380.283333333333,35177.2,17184.986666666668,284.1388928901735,204.6972783995953,TCS
899,2024-11-25,15717.625,82543.8,21823.34,525.16712925776,378.23632862797353,TCS
668,2024-11-25,40018.775,208931.0,52409.16,522.0824475511806,398.6535941427033,BHARTIARTL
1130,2024-11-25,81433.8,471363.6,132342.42,578.83041194197,356.1696997833347,ICICIBANK
437,2024-11-25,856664.8333333334,6999279.7,568941.66,817.0382893815532,1230.2280167003414,HDFCBANK
206,2024-11-25,85639.94166666667,456050.7,119874.48000000001,532.5210306366977,380.44019043919934,RELIANCE
456,2024-12-20,43204.96666666667,224881.3,90545.87999999999,520.4987235263847,248.36171452527714,HDFCBANK
687,2024-12-20,26363.65,144117.6,50563.84,546.6526827658537,285.02107434878366,BHARTIARTL
918,2024-12-20,9988.408333333333,46918.0,18939.36,469.72448897013123,247.72748392765118,TCS
225,2024-12-20,75395.325,291526.0,101349.97333333334,386.6632314404109,287.6428975873435,RELIANCE
1149,2024-12-20,250139.025,1689990.8,188252.16666666666,675.6206073802358,897.727144353363,ICICIBANK
461,2024-12-30,41567.38333333333,183040.6,78446.22,440.34669811226195,233.3325939732979,HDFCBANK
