,date,baselinemean,endmean,ma15endmean,baselinepct,endpct,stock
926,2024-01-23,93148.40833333334,256141.5,101141.41333333334,274.9821543739028,253.25086090682797,ICICIBANK
928,2024-01-25,81808.74166666667,373529.4,129661.8,456.5886143585511,288.0797582634207,ICICIBANK
235,2024-01-25,152107.03333333333,538359.0,166327.22,353.93432387851453,323.6746216283781,HDFCBANK
466,2024-01-25,27559.1,94449.0,37786.34,342.7143847222878,249.95540716565833,BHARTIARTL
716,2024-02-22,8331.15,22550.8,10137.833333333334,270.6805182957935,222.44200766107153,TCS
23,2024-02-22,66030.6,179881.8,61194.05333333333,272.4218771296944,293.9530725643494,RELIANCE
719,2024-02-27,8506.891666666666,21657.7,10580.18,254.59005296685925,204.70067616997065,TCS
952,2024-02-29,83375.2,216855.2,87616.12000000002,260.0955679866436,247.5060525391902,ICICIBANK
28,2024-02-29,84822.66666666667,337268.6,84453.70666666665,397.6161246207774,399.3532235727408,RELIANCE
259,2024-02-29,89306.61666666667,279590.2,120958.91333333334,313.06773275664347,231.1447683309765,HDFCBANK
490,2024-02-29,56920.558333333334,243925.4,44635.793333333335,428.5365554068265,546.4793650656147,BHARTIARTL
721,2024-02-29,13751.166666666666,80324.4,15250.446666666665,584.1278921788454,526.7019501505312,TCS
960,2024-03-13,96925.225,205003.2,100040.09333333332,211.50655053934616,204.9210403242327,ICICIBANK
731,2024-03-15,11971.683333333332,57467.2,23391.66,480.02606149789574,245.6738854788416,TCS
38,2024-03-15,80465.11666666667,391456.0,123445.13333333333,486.49155835023333,317.1093014602439,RELIANCE
269,2024-03-15,267861.625,2473565.1,288130.06666666665,923.4488516225495,858.489059686239,HDFCBANK
500,2024-03-15,33050.55,128514.5,55951.79333333333,388.8422431699321,229.68790157336633,BHARTIARTL
962,2024-03-15,285880.075,1820373.5,212828.94,636.7612363331023,855.3223541873582,ICICIBANK
58,2024-04-18,66333.16666666667,175768.2,84737.66666666667,264.97785170314495,207.4262921251077,RELIANCE
525,2024-04-25,28773.841666666667,134727.8,50328.013333333336,468.2301430610731,267.6994204155618,BHARTIARTL
987,2024-04-25,77842.9,196106.3,87095.08666666666,251.92573760741186,225.16344779648114,ICICIBANK
63,2024-04-25,55464.76666666667,160102.0,78005.30666666667,288.6553205248016,205.24501068132457,RELIANCE
990,2024-04-30,111915.65833333334,277433.2,107757.54666666666,247.8948916814515,257.4605756923939,ICICIBANK
297,2024-04-30,100648.86666666667,275896.6,113808.95333333334,274.1179400595999,242.420821841609,HDFCBANK
1009,2024-05-29,79946.575,189076.8,88098.13333333333,236.50394028762332,214.62066543975203,ICICIBANK
86,2024-05-30,46963.88333333333,145857.0,71897.25333333334,310.57269894986683,202.8686677692277,RELIANCE
779,2024-05-30,11265.45,28265.3,13528.279999999999,250.90253829185696,208.9349126422576,TCS
780,2024-05-31,41121.775,238873.8,28714.006666666664,580.8936992627384,831.9068905047734,TCS
87,2024-05-31,104874.08333333333,457473.6,96694.0,436.21225135857367,473.1147744430885,RELIANCE
318,2024-05-31,137352.39166666666,706192.6,148513.89333333334,514.1465623065537,475.50608508725827,HDFCBANK
1011,2024-05-31,99672.78333333334,428663.8,107049.9,430.07106420057494,400.4336295503312,ICICIBANK
549,2024-05-31,89126.89166666666,412154.5,62426.28,462.4356266585085,660.2259497122046,BHARTIARTL
101,2024-06-21,124043.96666666666,460292.8,140090.06666666668,371.07229990226585,328.569191915106,RELIANCE
1025,2024-06-21,302650.14166666666,1821870.1,284646.5866666667,601.9723268481316,640.0463540894266,ICICIBANK
563,2024-06-21,173216.675,963916.8,137242.30666666667,556.4803734975285,702.3466913458076,BHARTIARTL
567,2024-06-27,79825.84166666666,353912.5,129671.39333333334,443.3558013429444,272.93028238713555,BHARTIARTL
808,2024-07-11,13106.116666666667,89140.9,24112.86,680.1473103525452,369.68198712222437,TCS
809,2024-07-12,26739.591666666667,54590.4,24128.48666666667,204.1556979647221,226.24875216652623,TCS
1052,2024-07-31,77417.08333333333,332608.8,156114.3,429.6323055311866,213.0546657160811,ICICIBANK
1073,2024-08-30,81247.74166666667,495604.0,126806.72666666665,609.9911084708098,390.8341560639607,ICICIBANK
611,2024-08-30,150591.89166666666,1022231.4,105821.99333333333,678.8090571720136,965.9914426106383,BHARTIARTL
380,2024-08-30,967120.2333333333,6433227.0,529154.6333333333,665.1941277070446,1215.7555834813,HDFCBANK
149,2024-08-30,128504.28333333334,639107.0,102573.28000000001,497.34295497543076,623.0735723767436,RELIANCE
842,2024-08-30,14055.875,68550.0,18259.466666666667,487.69642587174405,375.4216990638646,TCS
1088,2024-09-20,296682.9166666667,1711555.0,222854.17333333334,576.8970519873209,768.0156823628103,ICICIBANK
626,2024-09-20,92856.55,369100.8,66231.54666666666,397.49570708797603,557.288510651319,BHARTIARTL
164,2024-09-20,119746.61666666667,476336.6,112797.08000000002,397.78710518891484,422.29515161208064,RELIANCE
