,date,baselinemean,endmean,ma15endmean,baselinepct,endpct
0,2024-01-19,2965.825,15551.5,11022.513333333334,524.3566292684161,141.08851157358544
1,2024-01-20,5620.866666666667,12030.6,11716.98,214.03460913500885,102.67662827793511
2,2024-01-23,11668.741666666667,28304.9,12938.306666666667,242.57028571346956,218.76819532282946
3,2024-01-24,3491.9583333333335,9898.1,13327.006666666666,283.4541267435894,74.27099158550733
4,2024-01-25,5905.383333333333,23653.9,13451.593333333334,400.54808747950324,175.84459635265017
5,2024-01-29,4719.208333333333,15013.1,13759.12,318.12751079365364,109.11380960410257
6,2024-01-30,5995.833333333333,11630.5,13733.366666666669,193.97637248088952,84.68790124295815
7,2024-01-31,5111.791666666667,15727.0,14350.146666666667,307.661208154349,109.59469868368359
8,2024-02-01,4194.991666666667,8228.3,14501.333333333334,196.1458008458499,56.74167892607576
9,2024-02-02,4628.858333333334,21674.3,15201.633333333333,468.24288926535155,142.57875798433938
10,2024-02-05,4580.858333333334,9632.8,14882.446666666667,210.28373503510073,64.72591648237051
11,2024-02-06,6460.691666666667,8993.2,14969.226666666666,139.19871840347332,60.07791985691535
12,2024-02-07,3489.266666666667,11569.7,14591.513333333334,331.57970156097747,79.29061047814552
13,2024-02-08,4100.091666666666,10187.4,14115.886666666665,248.4676155614407,72.16974916677805
14,2024-02-09,2709.733333333333,5267.6,13824.193333333333,194.39551247355215,38.10421247002236
15,2024-02-12,4782.716666666666,7634.0,13296.359999999999,159.61639653892664,57.41420960322976
16,2024-02-13,3012.5,5437.0,12856.786666666669,180.4813278008299,42.28894933830018
17,2024-02-14,3994.875,5445.6,11332.833333333334,136.3146531493476,48.051531685221406
18,2024-02-15,9174.008333333333,10561.3,11377.046666666665,115.1219795781742,92.82989082696916
19,2024-02-16,6608.35,13592.7,10706.3,205.68977127422124,126.95982739134904
20,2024-02-19,1376.5583333333334,4477.5,10003.926666666666,325.26772687923386,44.7574252510181
21,2024-02-20,3012.1666666666665,9644.6,9871.533333333333,320.1881259337133,97.70113390017087
22,2024-02-21,3600.2833333333333,9378.2,9448.279999999999,260.4850544170135,99.25827769710467
23,2024-02-22,6481.391666666666,19677.0,10211.526666666667,303.59220692058165,192.69400788259543
24,2024-02-23,3415.883333333333,9217.2,9381.053333333335,269.83357159934235,98.25335889786363
25,2024-02-26,2290.625,7056.2,9209.279999999999,308.0469304229195,76.62053928211544
26,2024-02-27,3166.175,7989.7,9142.380000000001,252.345495748024,87.39190451501686
27,2024-02-28,1894.4,5526.7,8739.513333333334,291.73880912162156,63.23807504155455
28,2024-02-29,10384.183333333332,40064.8,10731.34,385.82523742037176,373.3438694515317
