stock,profitPct,totalTrades,winRate,avgWinpct,avgLosspct,expentancypct,profitFactor
PAYTM_minute,1.03,49,0.63,2.77,-2.06,1.0,2.32
CANBK_minute,0.9,29,0.62,2.13,-1.12,0.89,3.1
INDGN_minute,0.87,24,0.62,2.53,-2.01,0.83,2.36
POWERGRID_minute,0.78,23,0.7,1.66,-1.27,0.77,3.48
BANDHANBNK_minute,0.62,36,0.61,2.24,-1.79,0.67,1.97
HEG_minute,0.58,57,0.47,3.14,-1.72,0.58,1.76
PCBL_minute,0.58,67,0.6,2.45,-1.94,0.68,1.87
CAPLIPOINT_minute,0.54,53,0.58,2.0,-1.62,0.5,1.74
SBIN_minute,0.5,17,0.59,1.46,-0.77,0.54,2.71
HDFCLIFE_minute,0.47,14,0.64,1.14,-0.69,0.49,2.97
MFSL_minute,0.46,24,0.46,2.51,-1.28,0.46,1.66
TECHM_minute,0.44,26,0.62,1.92,-1.72,0.52,1.79
DRREDDY_minute,0.43,49,0.61,1.2,-0.82,0.41,2.42
RELIANCE_minute,0.39,23,0.65,1.32,-1.29,0.41,1.92
GAEL_minute,0.37,63,0.52,2.13,-1.72,0.3,1.46
UNIONBANK_minute,0.29,54,0.46,1.9,-1.12,0.28,1.46
BANKBARODA_minute,0.25,18,0.5,1.25,-0.72,0.26,1.72
BPCL_minute,0.13,51,0.45,2.01,-1.43,0.12,1.2
LT_minute,0.07,12,0.42,1.36,-0.98,-0.0,1.16
