stock,profitPct,totalTrades,winRate,avgWinpct,avgLosspct,expentancypct,profitFactor
CANBK_minute,2.69,9,0.78,3.62,-0.53,2.7,23.92
INDGN_minute,1.7,10,0.5,4.31,-1.07,1.62,5.03
TECHM_minute,1.07,7,0.71,2.75,-2.44,1.26,2.81
BANDHANBNK_minute,1.0,14,0.57,3.05,-1.6,1.06,2.54
GAEL_minute,0.81,32,0.56,2.39,-1.57,0.66,2.29
PAYTM_minute,0.8,22,0.68,2.57,-3.1,0.76,1.77
POWERGRID_minute,0.65,5,0.6,1.7,-1.66,0.36,3.09
UNIONBANK_minute,0.63,26,0.62,1.9,-1.39,0.63,2.19
CAPLIPOINT_minute,0.5,34,0.56,1.87,-1.39,0.43,1.7
PCBL_minute,0.46,35,0.57,2.49,-1.81,0.65,1.84
MFSL_minute,0.22,11,0.36,2.22,-0.92,0.22,1.38
LT_minute,0.2,2,0.5,0.4,0.0,0.2,inf
BPCL_minute,0.2,14,0.43,1.92,-1.11,0.19,1.29
HEG_minute,0.16,31,0.52,2.04,-1.96,0.1,1.19
RELIANCE_minute,0.06,3,0.67,0.18,-0.2,0.05,1.71
DRREDDY_minute,-0.01,17,0.53,0.97,-1.12,-0.01,0.98
SBIN_minute,-0.08,1,0.0,0.0,-0.08,-0.08,0.0
BANKBARODA_minute,-0.29,4,0.25,0.8,-0.64,-0.28,0.42
HDFCLIFE_minute,-1.35,2,0.0,0.0,-1.31,-1.31,0.0
