stock,profitPct,totalTrades,winRate,avgWinpct,avgLosspct,expentancypct,profitFactor
CANBK_minute,1.28,9,0.78,2.04,-1.48,1.26,4.81
INDGN_minute,1.17,10,0.6,2.71,-1.38,1.07,3.93
BANDHANBNK_minute,0.85,14,0.64,2.13,-1.35,0.89,2.85
POWERGRID_minute,0.82,5,0.6,1.7,-0.88,0.67,5.78
TECHM_minute,0.81,7,0.57,2.15,-0.6,0.97,4.77
LT_minute,0.45,2,0.5,0.89,0.0,0.45,inf
GAEL_minute,0.41,32,0.47,1.62,-0.85,0.31,1.79
PCBL_minute,0.37,35,0.49,1.76,-0.73,0.48,2.27
UNIONBANK_minute,0.36,26,0.42,1.56,-0.57,0.33,2.02
BPCL_minute,0.35,14,0.5,1.32,-0.69,0.32,1.93
CAPLIPOINT_minute,0.32,34,0.47,1.55,-0.89,0.26,1.55
DRREDDY_minute,0.28,17,0.59,1.04,-0.79,0.29,1.89
HEG_minute,0.18,31,0.45,1.66,-0.9,0.26,1.52
MFSL_minute,0.17,11,0.36,1.81,-0.79,0.15,1.3
RELIANCE_minute,0.06,3,0.67,0.18,-0.2,0.05,1.71
PAYTM_minute,0.06,22,0.55,0.95,-0.91,0.1,1.25
SBIN_minute,-0.08,1,0.0,0.0,-0.08,-0.08,0.0
BANKBARODA_minute,-0.29,4,0.25,0.8,-0.64,-0.28,0.42
HDFCLIFE_minute,-0.53,2,0.0,0.0,-0.51,-0.51,0.0
