stock,profitPct,totalTrades,winRate,avgWinpct,avgLosspct,expentancypct,profitFactor
CANBK_minute,2.42,9,0.78,3.62,-1.8,2.42,7.04
INDGN_minute,1.7,10,0.5,4.31,-1.07,1.62,5.03
TECHM_minute,1.07,7,0.71,2.75,-2.44,1.26,2.81
BANDHANBNK_minute,1.0,14,0.57,3.05,-1.6,1.06,2.54
PAYTM_minute,0.88,22,0.68,2.57,-2.8,0.86,1.96
GAEL_minute,0.81,32,0.56,2.39,-1.57,0.66,2.29
POWERGRID_minute,0.65,5,0.6,1.7,-1.66,0.36,3.09
CAPLIPOINT_minute,0.5,34,0.56,1.87,-1.39,0.43,1.7
UNIONBANK_minute,0.46,26,0.62,1.66,-1.39,0.49,1.91
PCBL_minute,0.4,35,0.54,2.48,-1.73,0.56,1.71
BPCL_minute,0.2,14,0.43,1.92,-1.11,0.19,1.29
LT_minute,0.2,2,0.5,0.4,0.0,0.2,inf
DRREDDY_minute,0.1,17,0.53,0.97,-0.87,0.11,1.26
RELIANCE_minute,0.06,3,0.67,0.18,-0.2,0.05,1.71
MFSL_minute,0.04,11,0.36,2.22,-1.2,0.05,1.06
HEG_minute,0.03,31,0.48,2.15,-2.03,-0.01,1.06
SBIN_minute,-0.08,1,0.0,0.0,-0.08,-0.08,0.0
BANKBARODA_minute,-0.29,4,0.25,0.8,-0.64,-0.28,0.42
HDFCLIFE_minute,-1.35,2,0.0,0.0,-1.31,-1.31,0.0
