stock,profitPct,totalTrades,winRate,avgWinpct,avgLosspct,expentancypct,profitFactor
PAYTM_minute,0.93,49,0.61,2.58,-1.8,0.88,2.26
CANBK_minute,0.92,29,0.62,2.13,-1.07,0.92,3.27
INDGN_minute,0.89,24,0.62,2.53,-1.95,0.85,2.43
POWERGRID_minute,0.72,23,0.7,1.66,-1.47,0.71,3.01
HEG_minute,0.58,57,0.44,2.98,-1.33,0.56,1.87
TECHM_minute,0.58,26,0.62,1.92,-1.38,0.65,2.23
PCBL_minute,0.51,67,0.6,2.23,-1.9,0.57,1.74
BANDHANBNK_minute,0.47,36,0.61,2.05,-1.88,0.52,1.71
HDFCLIFE_minute,0.47,14,0.64,1.14,-0.69,0.49,2.97
CAPLIPOINT_minute,0.46,53,0.55,1.98,-1.48,0.42,1.62
DRREDDY_minute,0.45,49,0.61,1.21,-0.8,0.43,2.53
RELIANCE_minute,0.44,23,0.65,1.32,-1.17,0.46,2.12
SBIN_minute,0.43,17,0.59,1.46,-0.92,0.48,2.25
GAEL_minute,0.36,63,0.52,2.08,-1.67,0.3,1.47
UNIONBANK_minute,0.34,54,0.46,1.94,-1.09,0.31,1.53
BANKBARODA_minute,0.3,18,0.5,1.25,-0.61,0.32,2.03
BPCL_minute,0.28,51,0.45,2.01,-1.14,0.28,1.5
MFSL_minute,0.12,24,0.42,2.0,-1.17,0.15,1.22
LT_minute,0.07,12,0.42,1.36,-0.98,-0.0,1.16
