stock,profitPct,totalTrades,winRate,avgWinpct,avgLosspct,expentancypct,profitFactor
RELIANCE_minute,0.55,23,0.65,1.32,-0.85,0.56,2.91
HDFCLIFE_minute,0.5,14,0.57,1.21,-0.47,0.49,3.43
POWERGRID_minute,0.42,23,0.52,1.82,-1.1,0.42,1.98
CANBK_minute,0.41,29,0.62,1.34,-1.14,0.4,1.93
TECHM_minute,0.4,26,0.5,1.47,-0.6,0.44,2.46
BANDHANBNK_minute,0.39,36,0.61,1.5,-1.26,0.43,1.87
INDGN_minute,0.39,24,0.58,1.89,-1.84,0.33,1.6
DRREDDY_minute,0.38,49,0.61,1.11,-0.78,0.38,2.37
PAYTM_minute,0.37,49,0.55,1.25,-0.76,0.35,2.03
SBIN_minute,0.37,17,0.53,1.58,-0.92,0.4,1.93
PCBL_minute,0.36,67,0.51,1.56,-0.84,0.38,1.92
HEG_minute,0.35,57,0.44,2.04,-0.87,0.4,1.88
GAEL_minute,0.31,63,0.46,1.62,-0.88,0.27,1.62
MFSL_minute,0.31,24,0.5,1.49,-0.85,0.32,1.76
BPCL_minute,0.27,51,0.49,1.41,-0.86,0.25,1.64
CAPLIPOINT_minute,0.26,53,0.49,1.48,-0.95,0.24,1.5
UNIONBANK_minute,0.22,54,0.39,1.55,-0.68,0.19,1.45
BANKBARODA_minute,0.13,18,0.39,1.28,-0.57,0.15,1.43
LT_minute,0.11,12,0.42,1.46,-0.98,0.04,1.24
