stock,profitPct,totalTrades,winRate,avgWinpct,avgLosspct,expentancypct,profitFactor
CANBK_minute,2.49,9,0.78,3.62,-1.48,2.49,8.56
INDGN_minute,1.7,10,0.5,4.31,-1.07,1.62,5.03
TECHM_minute,1.45,7,0.71,2.75,-1.24,1.61,5.53
GAEL_minute,0.9,32,0.56,2.51,-1.48,0.77,2.55
PAYTM_minute,0.74,22,0.68,2.32,-2.53,0.78,1.97
BANDHANBNK_minute,0.67,14,0.57,2.45,-1.6,0.72,2.05
POWERGRID_minute,0.65,5,0.6,1.7,-1.66,0.36,3.09
PCBL_minute,0.57,35,0.6,2.32,-1.66,0.73,2.1
UNIONBANK_minute,0.51,26,0.62,1.73,-1.37,0.53,2.01
CAPLIPOINT_minute,0.41,34,0.53,1.77,-1.28,0.34,1.56
HEG_minute,0.29,31,0.48,2.15,-1.53,0.25,1.41
BPCL_minute,0.26,14,0.43,1.92,-1.01,0.25,1.43
LT_minute,0.2,2,0.5,0.4,0.0,0.2,inf
DRREDDY_minute,0.16,17,0.53,1.03,-0.82,0.16,1.42
MFSL_minute,0.13,11,0.36,2.22,-1.05,0.14,1.21
RELIANCE_minute,0.06,3,0.67,0.18,-0.2,0.05,1.71
SBIN_minute,-0.08,1,0.0,0.0,-0.08,-0.08,0.0
BANKBARODA_minute,-0.29,4,0.25,0.8,-0.64,-0.28,0.42
HDFCLIFE_minute,-1.35,2,0.0,0.0,-1.31,-1.31,0.0
