,Symbol,Max Drawdown,Hit Rate,Holding Shares,Short Shares,Max Holding,Max Short,Out of Capital,Short Orders,Long Orders,Initial Capital,Current Capital,Holding Capital,Total Equity,Profit,Profit Percentage
0,RELIANCE,86.41,27.27,43.0,0.0,63.0,7.0,29.0,64.0,83.0,100000.0,33003.46,52305.2,85308.66,-14691.34,-14.69
1,HDFCBANK,85.48,71.21,56.0,0.0,57.0,6.0,65.0,39.0,50.0,100000.0,15002.15,99232.0,114234.15,14234.15,14.23
2,BHARTIARTL,81.48,69.7,58.0,0.0,80.0,9.0,53.0,50.0,64.0,100000.0,31967.75,92417.2,124384.95,24384.95,24.38
3,TCS,67.09,60.32,0.0,0.0,17.0,1.0,131.0,23.0,40.0,100000.0,104664.96,0.0,104664.96,4664.96,4.66
4,ICICIBANK,85.8,60.87,71.0,0.0,88.0,8.0,33.0,64.0,72.0,100000.0,17809.07,91128.5,108937.57,8937.57,8.94
5,SBIN,87.52,46.46,77.0,0.0,138.0,15.0,8.0,62.0,74.0,100000.0,48917.14,61292.0,110209.14,10209.14,10.21
6,INFY,79.78,48.76,47.0,0.0,51.0,6.0,57.0,72.0,69.0,100000.0,21056.71,88625.55,109682.26,9682.26,9.68
7,HINDUNILVR,81.52,49.57,32.0,0.0,32.0,3.0,51.0,58.0,78.0,100000.0,23103.9,74464.0,97567.9,-2432.1,-2.43
8,ITC,92.74,54.08,222.0,0.0,254.0,24.0,41.0,58.0,59.0,100000.0,16427.0,93018.0,109445.0,9445.0,9.45
9,KOTAKBANK,82.16,34.44,39.0,0.0,45.0,5.0,39.0,45.0,60.0,100000.0,26386.37,69615.0,96001.38,-3998.62,-4.0
10,LT,67.66,32.98,6.0,0.0,18.0,2.0,25.0,43.0,56.0,100000.0,70299.19,21659.7,91958.88,-8041.11,-8.04
11,AXISBANK,85.02,29.37,11.0,0.0,74.0,9.0,0.0,68.0,80.0,100000.0,72169.62,11748.0,83917.62,-16082.38,-16.08
12,BAJFINANCE,83.7,31.91,103.0,0.0,114.0,13.0,0.0,78.0,78.0,100000.0,22747.35,70400.5,93147.85,-6852.15,-6.85
13,MARUTI,10.04,100.0,0.0,0.0,1.0,0.0,165.0,0.0,1.0,100000.0,101815.56,0.0,101815.56,1815.55,1.82
14,NTPC,87.5,38.85,75.0,0.0,259.0,32.0,3.0,77.0,83.0,100000.0,74891.1,24960.0,99851.1,-148.9,-0.15
15,TATASTEEL,89.46,32.16,258.0,0.0,654.0,75.0,0.0,71.0,109.0,100000.0,56099.53,34817.1,90916.63,-9083.37,-9.08
